R_fighter,B_fighter,Average_Odds_f1,Average_Odds_f2,date,title_bout,win_by,weight_class,red_fighters_elo,blue_fighters_elo,red_Fighter_Odds,blue_Fighter_Odds,Winner,R_Fight_Number,R_Stance,R_Height_cms,R_Reach_cms,R_age,R_WinLossRatio,R_RingRust,R_Winning_Streak,R_Losing_Streak,R_AVG_fight_time,R_total_title_bouts,R_Takedown_Defense,R_Takedown Accuracy,R_Strikes_Per_Minute,R_Striking Accuracy,R_Strikes_Absorbed_per_Minute,R_Striking Defense,R_knockdows_per_minute,R_Submission Attempts,R_Average_Num_Takedowns,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Power_Rating,red_skill,wrestling_red_skill,striking_red_skill,g_and_p_red_skill,jiujitsu_red_skill,grappling_red_skill,B_Fight_Number,B_Stance,B_Height_cms,B_Reach_cms,B_age,B_WinLossRatio,B_RingRust,B_Winning_Streak,B_Losing_Streak,B_AVG_fight_time,B_total_title_bouts,B_Takedown_Defense,B_Takedown Accuracy,B_Strikes_Per_Minute,B_Striking Accuracy,B_Strikes_Absorbed_per_Minute,B_Striking Defense,B_knockdows_per_minute,B_Submission Attempts,B_Average_Num_Takedowns,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Power_Rating,blue_skill,wrestling_blue_skill,striking_blue_skill,g_and_p_blue_skill,jiujitsu_blue_skill,grappling_blue_skill
Sean Sherk,Hermes Franca,-240.0,225.0,2007-07-07,True,Decision - Unanimous,Lightweight,,,0.7058823529411765,0.3076923076923077,Red,1.0,Orthodox,167.64,170.18,33.0,,,,,,,,,,,,,,,,0.0,0.0,3.0,0.0,1.0,1.0,,,,,,,,1.0,Orthodox,167.64,180.34,32.0,,,,,,,,,,,,,,,,0.0,0.0,1.0,2.0,2.0,0.0,,,,,,,
Anderson Silva,Nate Marquardt,-145.0,140.0,2007-07-07,True,KO/TKO,Middleweight,,,0.5918367346938775,0.4166666666666667,Red,1.0,Southpaw,187.96,195.58,32.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,,,1.0,Orthodox,182.88,187.96,28.0,,,,,,,,,,,,,,,,0.0,0.0,3.0,0.0,1.0,0.0,,,,,,,
Clay Guida,Marcus Aurelio,-110.0,110.0,2007-08-25,False,Decision - Split,Lightweight,1187.5,,0.5238095238095238,0.47619047619047616,Red,2.0,Orthodox,170.18,177.8,25.0,0.0,49.49747468305833,0.0,1.0,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,20.604167980000835,20.604167980000835,20.604167980000835,25.000000000000004,29.39583201999916,29.39583201999916,1.0,Orthodox,177.8,187.96,34.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Thales Leites,Ryan Jensen,-280.0,245.0,2007-08-25,False,Submission,Middleweight,1236.25,,0.7368421052631579,0.2898550724637681,Red,2.0,Orthodox,185.42,198.12,25.0,1.0,44.54772721475249,1.0,0.0,,0.0,,,,,,,,,,0.0,0.0,0.5,0.0,0.5,0.0,,29.39583201999916,29.39583201999916,25.0,25.0,29.39583201999916,29.39583201999916,1.0,Orthodox,185.42,193.04,29.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Frank Mir,Antoni Hardonk,-155.0,155.0,2007-08-25,False,Submission,Heavyweight,,,0.6078431372549019,0.39215686274509803,Red,1.0,Southpaw,190.5,200.66,28.0,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,4.0,0.0,,,,,,,,1.0,Orthodox,193.04,198.12,31.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,
Renato Sobral,David Heath,-225.0,200.0,2007-08-25,False,Submission,Light Heavyweight,,,0.6923076923076923,0.3333333333333333,Red,1.0,Orthodox,185.42,190.5,31.0,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,3.0,0.0,,,,,,,,1.0,Orthodox,180.34,182.88,31.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,
Patrick Cote,Kendall Grove,250.0,-250.0,2007-08-25,False,KO/TKO,Middleweight,,,0.2857142857142857,0.7142857142857143,Red,1.0,Orthodox,180.34,180.34,27.0,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,1.0,Orthodox,198.12,200.66,24.0,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,
Joe Stevenson,Kurt Pellegrino,-275.0,265.0,2007-08-25,False,Decision - Unanimous,Lightweight,,,0.7333333333333333,0.273972602739726,Red,1.0,Orthodox,170.18,177.8,25.0,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,2.0,1.0,,,,,,,,1.0,Orthodox,172.72,177.8,28.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,
Roger Huerta,Alberto Crane,-325.0,350.0,2007-08-25,False,KO/TKO,Lightweight,1236.25,,0.7647058823529411,0.2222222222222222,Red,2.0,Orthodox,175.26,177.8,24.0,1.0,44.54772721475249,1.0,0.0,,0.0,,,,,,,,,,0.0,0.0,1.0,1.0,0.0,0.0,,29.39583201999916,20.604167980000835,29.39583201999916,29.39583201999916,29.39583201999916,20.604167980000835,1.0,Orthodox,165.1,,31.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Georges St-Pierre,Josh Koscheck,-215.0,225.0,2007-08-25,False,Decision - Unanimous,Welterweight,,,0.6825396825396826,0.3076923076923077,Red,1.0,Orthodox,180.34,193.04,26.0,,,,,,,,,,,,,,,,0.0,1.0,2.0,3.0,1.0,0.0,,,,,,,,1.0,Orthodox,177.8,185.42,29.0,,,,,,,,,,,,,,,,0.0,0.0,3.0,2.0,2.0,0.0,,,,,,,
