Name,Affiliation,Born,Fighting out of
Darrell Horcher,Unrivaled Athletics,United States,"Shermans Dale, Pennsylvania"
Yoshinori Horie,ALLIANCE,"Nagasaki, Japan","Nagasaki, Japan"
Kyoji Horiguchi,American Top Team,"Takasaki, Gunma, Japan","Coconut Creek, Florida"
Jeremy Horn,Jeremy Horn's Elite Performance,"Omaha, Nebraska, United States","Sandy, Utah, United States "
Matt Horwich,,,
Jeff Hougland,Combat Sport & Fitness,"Chicago, Illinois, United States","Enumclaw, Washington"
Brian Houston,,,
John Howard,F A F Gym,"Dorchester, Massachusetts, United States","Boston, Massachusetts"
Shane Howell,The Forge MMA,United States,"Oklahoma City, Oklahoma"
Carlos Huachin,,,
Austin Hubbard,Elevation Fight Team,"Illinois, United States","Denver, Colorado"
Roger Huerta,Tiger Muay Thai,"Los Angeles, California, United States","Phuket, Thailand"
Matt Hughes,Finney's HIT Squad,"Hillsboro, Illinois, United States","Hillsboro, Illinois"
Jeff Hughes,Strong Style Fight Team,United States,"Canton, Ohio"
Mark Hunt,American Top Team,"South Auckland, New Zealand","Sydney, Australia"
Al Iaquinta,Serra Jiu-Jitsu,United States,"Long Island, New York"
Khadis Ibragimov,Sambo-Piter,"Dagestan, Russia","St. Petersburg, Russia"
Dan Ige,Xtreme Couture,United States,"Haleiwa, Hawaii"
Zelim Imadaev,N/A,Russia,"Moscow, Russia"
Nassourdine Imavov,,,
Brad Imes,,,
Chris Indich,Beston Gracie,Australia,"Perth, Western Australia"
Guto Inocente,Blackzilians,"Brasilia, Federal District, Brazil","Delray Beach, Florida"
Naoki Inoue,Longo And Weidman MMA,"Toyohashi, Aichi, Japan","New York City, New York"
Mizuki Inoue,N/A,"Toyohashi, Aichi, Japan","New York City, New York"
James Irvin,Capital City Fighting Alliance,"Huntington Beach, California, United States","Citrus Heights, California"
Teruto Ishihara,Team Alpha Male Japan,"Oshima, Kagoshima, Japan","Kadoma, Osaka, Japan"
Damir Ismagulov,Tiger Muay Thai,"Orenburgskaya oblast, Russia","Orenburg, Russia"
Leandro Issa,Evolve MMA,"Ubatuba, Sao Paulo, Brazil","Ubatuba, Sao Paulo, Brazil"
Blagoy Ivanov,American Kickboxing Academy,Bulgaria,"Sofia, Bulgaria"
Anthony Ivy,Brazilian Top Team Texas,"San Antonio, Texas","San Antonio, Texas"
Yoislandy Izquierdo,Gym-O,"Havana, Cuba","Charlotte, North Carolina"
Yves Jabouin,Tristar Gym,"Port-au-Prince, Haiti","Montreal, Quebec"
Quinton Jackson,Wolfslair Academy,"Memphis, Tennessee, United States","Irvine, California"
Damon Jackson,Fortis MMA,United States,"Dallas, Texas"
Mike Jackson,4oz. Fight Club,United States,"Houston, Texas"
Montel Jackson,Pura Vida BJJ/MMA,United States,"Milwaukee, Wisconsin"
Dustin Jacoby,Finney's HIT Squad,"Fort Morgan, Colorado, United States","Springfield, Illinois"
Virna Jandiroba,Academia Fight House,Brazil,"Serrinha, Bahia, Brazil"
Ryan Janes,Zugec Ultimate Martial Arts,Canada,"Victoria, British Columbia"
Keith Jardine,Jackson Wink MMA,"Butte, Montana, United States","Albuquerque, New Mexico"
Brock Jardine,The Pit Elevated Fight Team,"Ontario, Canada","Orem, Utah"
Rony Jason,SAS Team,"Quixada, Ceara, Brazil","Fortaleza, Ceara, Brazil"
Justin Jaynes,Xtreme Couture,"Richmond, Michigan, United States","Las Vegas, Nevada"
Joanna Jedrzejczyk,American Top Team,"Olsztyn, Poland","Coconut Creek, Florida"
Ryan Jensen,Jackson Wink MMA,"Omaha, Nebraska, United States","Albuquerque, New Mexico"
Chan-Mi Jeon,Kukje Gym/Ryeong Promotions,"Seoul, South Korea","Seoul, South Korea"
Maciej Jewtuszko,Berserker's Team,Poland,"Szczecin, Poland"
Ryan Jimmo,,,
Sung Bin Jo,Team Stun Gun,"Seoul, South Korea","Seoul, South Korea"
Carls John De Tomas,De Tomas Muay Thai and MMA Training Center,Philippines,"Quezon City, Philippines"
Brett Johns,Chris Rees Academy,"Swansea, Wales, United Kingdom","Swansea, Wales, United Kingdom"
Miles Johns,Fortis MMA,"Newton, Kansas","Dallas, Texas"
Anthony Johnson,Sanford MMA,"Dublin, Georgia, United States","Boca Raton, Florida"
DaMarques Johnson,Jeremy Horn's Elite Performance,"West Jordan, Utah, United States","Salt Late City, Utah"
Lavar Johnson,Pro Buhawe,"Madera, California, United States","San Jose, California"
Demetrious Johnson,AMC Pankration,"Madisonville, Kentucky, United States","Kirkland, Washington"
Michael Johnson,Sanford MMA,"St. Louis, Missouri, United States","Boca Raton, Florida"
Kajan Johnson,Tristar Gym,"Burns Lake, British Columbia, Canada","Montreal, Quebec"
Dashon Johnson,Team Xplode MMA,United States,"Escondido, California"
Timothy Johnson,Academy of Combat Arts,"Lamberton, Minnesota, United States","Las Vegas, Nevada"
Jordan Johnson,MMA Lab,"Richmond, Virginia","Gilbert, Arizona"
Liana Jojua,N/A,Georgia,"Tibilisi, Georgia"
Daniel Jolly,Rubicon Fight Sport,"Fairfield, California, United States","Lockhart, Texas"
Jon Jones,Jackson Wink MMA,"Rochester, New York, United States","Albuquerque, New Mexico"
Marcus Jones,N/A,United States,"Tampa, Florida"
Justin Jones,Victory MMA,United States,"San Diego, California"
Trevin Jones,Vida BJJ,New Orleans,Guam
Jocelyn Jones-Lybarger,MMA Lab,United States,"Phoenix, Arizona"
Shawn Jordan,Jackson Wink MMA,"El Paso, Texas, United States","Albuquerque, New Mexico"
Ivan Jorge,,,
Scott Jorgensen,Combat Fitness,"Payson, Utah, United States","Boise, Idaho"
Krzysztof Jotko,Planet Eater,"Elbląg, Poland","Orneta, Poland"
Alan Jouban,Legends MMA,United States,"Hollywood, California"
Charles Jourdain,Academie Pro Star MMA,"Montreal, Quebec, Canada","Beloeil, Quebec"
Luke Jumeau,Phuket Top Team,New Zealand,"Hamilton, Waikato, New Zealand"
Chan Sung Jung,Korean Zombie MMA,"Seoul, South Korea","Pohang, South Korea"
Da-Un Jung,,,
Scott Junk,MMA Development,United States,"Kailua, Hawaii"
Myles Jury,Alliance MMA,"Hazel Park, Michigan, United States","San Diego, California"
Cristiane Justino,Chute Boxe Long Beach,"Curitiba, Parana, Brazil","San Diego, California"
Emily Kagan,N/A,"Bangor, Maine","Albuquerque, New Mexico"
Sirwan Kakai,American Top Team,Sweden,"Gothenburg, Sweden"
Kai Kamaka,N/A,"Ewa Beach, Hawaii","Pearl City, Hawaii"
Martin Kampmann,Xtreme Couture,"Aarhus, Denmark","Las Vegas, Nevada"
Bharat Kandare,,,
Masanori Kanehara,Reversal Gym Tachikawa ALPHA,"Musashimurayama, Tokyo, Japan","Hachioji, Tokyo, Japan"
Denis Kang,American Top Team,"Saint-Pierre, Saint Pierre and Miquelon","Montreal, Quebec"
Kyung Ho Kang,Busan Team MAD,South Korea,"Busan, South Korea"
David Kaplan,,,
Kai Kara-France,City Kickboxing,New Zealand,"Auckland, New Zealand"
Impa Kasanganay,Gym-O,"Fort Lauderdale, Florida","Charlotte, North Carolina"
Nadia Kassem,Australian Top Team,"Sydney, New South Wales, Australia","Wentworthville, Australia"
Yusuke Kasuya,Akimoto Dojo jungle junction,Japan,"Sagamihara, Kanagawa, Japan"
Brad Katona,Straight Blast Gym Ireland,"Winnipeg, Manitoba, Canada","Dublin, Ireland"
Calvin Kattar,New England Cartel,"Lawrence, Massachusetts","Methuen, Massachusetts"
Sarah Kaufman,Zugec Ultimate Martial Arts,"Victoria, British Columbia, Canada","Victoria, British Columbia"
Tatsuya Kawajiri,T-BLOOD,"Inashiki, Ibaraki, Japan","Inashiki, Japan"
Julie Kedzie,Jackson Wink MMA,"Bloomington, Indiana, United States","Albuquerque, New Mexico"
CJ Keith,Pro Buhawe,United States,"Porterville, California"
Chris Kelades,Titans MMA,"Dartmouth, Nova Scotia, Canada","Cole Harbor, Nova Scotia"
Brian Kelleher,Long Island MMA,"Oceanside, New York, United States","Selden, New York"
Tony Kelley,N/A,United States,"Shreveport, Louisiana"
Paul Kelly,Wolfslair Academy,"Liverpool, England","Liverpool, England"
Daniel Kelly,N/A,"Melbourne, Victoria, Australia","Melbourne, Victoria, Australia"
Tim Kennedy,Jackson Wink MMA,"San Luis Obispo, California, United States","Fort Bragg, North Carolina"
Steve Kennedy,Fitness N Fight Centre,Australia,"Northbridge, Western Australia"
Jeremy Kennedy,Team Quest Thailand,"Surrey, British Columbia, Canada","Chiang Mai, Thailand"
Casey Kenney,Rise Combat Sports,"Portland, Indiana, United States","Tucson, Arizona"
Rustam Khabilov,Jackson Wink MMA,"Makhachkala, Russian SFSR, Soviet Union","Albuquerque, New Mexico"
Sergey Khandozhko,Fight Club No. 1,Russia,"Moscow, Russia"
Pannie Kianzad,Arte Suave,"Ahvaz, Iran","Copenhagen, Denmark"
Katsunori Kikuno,,,
Jacob Kilburn,Harris Holt Combat Sports,United States,"Woodlawn, Tennessee"
Dong Hyun Kim,Team Stun Gun,"Suwon, South Korea","Busan, Yeongnam, South Korea"
Ji Yeon Kim,MOB Training Center,South Korea,"Incheon, South Korea"
Jeremy Kimball,,,
Rob Kimmons,Perseverance MMA and Athletic Academy,"Kansas City, Kansas, United States","Gladstone, Missouri"
Dustin Kimura,Gracie Technics,"Honolulu, Hawaii, United States","Honolulu, Hawaii"
Mike King,Pitch Black MMA,"Dresden, Ohio","Naples, Florida"
Kyle Kingsbury,American Kickboxing Academy,"San Jose, California, United States","San Jose, California"
Justine Kish,Gym-O,"St. Petersburg, Russia","Los Angeles, California"
Ludovit Klein,N/A,Slovakia,Slovakia
Drakkar Klose,Fight Ready MMA,"South Haven, Michigan, United States","Glendale, Arizona"
Jason Knight,"American Top Team D’Iberville, MS",United States,"Lucedale, Mississippi"
William Knight,Thornton Martial Arts,United States,Connecticut
Erik Koch,Hybrid Faction,"Cedar Rapids, Iowa, United States","Milwaukee, Wisconsin"
John Kolosci,Gilbert Grappling,United States,"Portage, Indiana"
Syuri Kondo,Vos Gym,"Ebina, Kanagawa, Japan","Yokohama, Japan"
Cheick Kongo,Quoniam Gym,"Paris, France","Widnes, England"
Roman Kopylov,N/A,Russia,"Novosibirsk, Russia"
Josh Koscheck,Dethrone Base Camp Fresno,"Waynesburg, Pennsylvania, United States","Fresno, California"
Naoyuki Kotani,Rodeo Style,"Yokosuka, Kanagawa, Japan",Japan
Karolina Kowalkiewicz,Shark Top Team Łódź,Poland,"Łódź, Poland"
Derrick Krantz,Longview MMA / Team 515,United States,"Marshall, Texas"
James Krause,Glory MMA and Fitness,United States,"Lee's Summit, Missouri"
Pascal Krauss,Roufusport MMA Academy,"Breisach, Germany","Milwaukee, Wisconsin"
Nikita Krylov,,,
Michael Kuiper,,,
Anton Kuivanen,Primus Fight Team,"Parnu, Estonia","Helsinki, Finland"
Aleksei Kunchenko,BK Arkhangel Mikhail,Russia,"Tyumen, Russia"
Kiichi Kunimoto,Cobra Kai MMA Dojo,"Osaka, Japan","Osaka, Japan"
Yana Kunitskaya,Fight Spirit Gym,"Murmansk, Russia","Saint Petersburg, Russia"
Leo Kuntz,American Top Team,"Linton, North Dakota, United States","Coconut Creek, Florida"
Aspen Ladd,MMA Gold Fight Team,"Pioneer, California","Pioneer, California"
Ryan LaFlare,Long Island MMA,"Lindenhurst, New York","Boca Raton, Florida"
Noad Lahat,American Kickboxing Academy,"Samara, Israel","San Jose, California"
Tina Lahdemaki,Grappling Team Pori,Finland,"Pori, Finland"
Ricardo Lamas,MMA Masters,"Chicago, Illinois, United States","Chicago, Illinois"
Jason Lambert,,,
Nate Landwehr,,,
Lina Lansberg,Redline TC,"Karlstad, Sweden","Malmö, Sweden"
Taylor Lapilus,N/A,France,"Paris, France"
Chad Laprise,Adrenaline MMA Training & Fitness,Canada,"London, Ontario"
Anthony Lapsley,Team Deadly Jiu-Jitsu,United States,"Fort Wayne, Indiana"
TJ Laramie,Maximum Training Centre,Canada,"Windsor, Ontario"
Lorenz Larkin,Millennia MMA,"Riverside, California, United States","Riverside, California"
Jeremy Larsen,Arizona Combat Sports,United States,"Phoenix, Arizona"
Brock Larson,Minnesota Martial Arts Academy,"Brainerd, Minnesota, United States","Brainerd, Minnesota"
Ilir Latifi,Allstars Training Center,"Malmo, Sweden","Boca Raton, Florida"
Jenel Lausa,Team Capanay,"Concepcion, Iloilo, Philippines","Manila, Philippines"
Joe Lauzon,Lauzon Mixed Martial Arts,"Brockton, Massachusetts, United States","Bridgewater, Massachusetts"
Dan Lauzon,Lauzon Mixed Martial Arts,"Brockton, Massachusetts, United States","Bridgewater, Massachusetts"
Robbie Lawler,Sanford MMA,"San Diego, California, United States","Coconut Creek, Florida"
Tom Lawlor,The Jungle MMA,"Fall River, Massachusetts, United States","Providence, Rhode Island"
Justin Lawrence,Black House,"Pacific, Missouri, United States","Pacific, Missouri"
Valmir Lazaro,Nova União,"Salvador, Bahia, Brazil","Salvador, Bahia, Brazil"
Mounir Lazzez,,,
Cung Le,Cung Le's MMA,"Saigon, Vietnam","San Jose, California"
Chris Leben,Arena Gym,"Portland, Oregon, United States","Oahu, Hawaii"
Mickael Lebout,Obyfight,"Paris, France","Paris, France"
Justin Ledet,N/A,"Rosharon, Texas, United States","Houston, Texas"
James Lee,Mash Fight Team,United States,"Sylvin Lake, Michigan, USA"
David Lee,,,
Vaughan Lee,Ultimate Training Centre,"Birmingham, England","Birmingham, England"
Kevin Lee,Tristar Gym,"Detroit, Michigan, United States","Grand Rapids, Michigan"
Rocky Lee,Taiwan BJJ Academy,Taiwan,"Taipei, Taiwan"
Andrea Lee,Karate Mafia MMA,"Atlanta, Texas, United States","Shreveport, Louisiana"
Thales Leites,,,
Amanda Lemos,Marajó Brothers Team,Brazil,"Para, Brazil"
Jesse Lennox,Miletich Fighting Systems,"Cedar Rapids, Iowa, United States","Davenport, Iowa, United States"
Nik Lentz,American Top Team,"El Paso, Texas, United States","Coconut Creek, Florida"
Brock Lesnar,N/A,"Webster, South Dakota, United States","Alexandria, Minnesota"
Frank Lester,Team Quest,Germany,"Temecula, California"
Valerie Letourneau,American Top Team,"Montreal, Quebec, Canada","Coconut Creek, Florida"
Leah Letson,Pura Vida BJJ/MMA,"Janesville, Wisconsin","Milwaukee, Wisconsin"
Marcus LeVesseur,Minnesota Fight Factory,"Minneapolis, Minnesota, United States","Minneapolis, Minnesota"
Derrick Lewis,Silverback Fight Club,United States,"Houston, Texas"
Bevon Lewis,N/A,"Long Beach, California","Lawrenceville, Georgia "
Jingliang Li,China Top Team,"Tacheng, Xinjiang Province, China","Beijing, China"
Jess Liaudin,,,
Chuck Liddell,The Pit,"Santa Barbara, California, United States","San Luis Obispo, California"
Hyun Gyu Lim,Team Macho,"Seoul, South Korea","Seoul, South Korea"
Juliana Lima,Gracie Barra Belo Horizonte,"Belo Horizonte, Minas Gerais, Brazil","Belo Horizonte, Minas Gerais, Brazil"
Dhiego Lima,,,
Jake Lindsey,Combative Sports Center,"Manhattan, Kansas","Manhattan, Kansas"
John Lineker,,,
Austin Lingo,Fortis MMA,United States,"Dallas, Texas"
Lucio Linhares,Alliance Jiu-Jitsu,Brazil,"Ipatinga, Minas Gerais, Brazil"
Philipe Lins,American Top Team,Brazil,"Natal, Rio Grande do Norte, Brazil"
Ariane Lipski,Kings MMA,"Curitiba, Parana, Brazil","Curitiba, Parana, Brazil"
Dean Lister,City Boxing,United States,"San Diego, California"
Abner Lloveras,HM Fitness Centre,"Barcelona, Spain","Dubai, Arab Emirates"
Artem Lobov,Straight Blast Gym Ireland,"Nizhny Novgorod, Russia","Dublin, Ireland"
David Loiseau,Tristar Gym,"Montreal, Quebec, Canada","Montreal, Quebec"
Hector Lombard,N/A,Cuba,"Miami, Florida"
Loma Lookboonmee,Tiger Muay Thai,"Buriram, Thailand","Amphoe Muang Phuket, Phuket, Thailand"
Dileno Lopes,,,
Steve Lopez,Xtreme Couture,"South Bend, Indiana, United States","Las Vegas, Nevada"
Jorge Lopez,Wand Fight Team,"San Diego, California, United States","Las Vegas, Nevada"
Matthew Lopez,Reign MMA,"Tucson, Arizona, United States","Fullerton, California"
Benito Lopez,Team Alpha Male,"Oroville, California","Oroville, California"
Gustavo Lopez,Xtreme Couture,"Wapato, Washington","Las Vegas, Nevada"
Brendan Loughnane,Manchester Predators,England,"Manchester, England"
Nate Loughran,,,
Ian Loveland,Team Quest Portland,"Gresham, Oregon, United States","Portland, Oregon"
Waylon Lowe,Joe Hand's Boxing,"Jefferson City, Tennessee, United States","Philadelphia, Pennsylvania"
Matt Lucas,,,
Duane Ludwig,N/A,United States,"Denver, Colorado"
Mike Lullo,,,
Dalcha Lungiambula,,,
Vicente Luque,Cerrado MMA,"Westwood, New Jersey","Brasilia, Federal District, Brazil"
Travis Lutter,Lion's Den Texas,United States,"Dallas, Texas"
Stevie Lynch,,,
Chris Lytle,Integrated Fighting Academy,"Indianapolis, Indiana, United States","Indianapolis, Indiana"
Dong Hyun Ma,Busan Team MAD,South Korea,"Busan, South Korea"
William Macario,Pejor,"Rio de Janeiro, Rio de Janeiro, Brazil","Rio de Janeiro, Rio de Janeiro, Brazil"
Jason MacDonald,Pure Fitness MMA,"New Glasgow, Nova Scotia, Canada","Edmonton, Alberta"
Rory MacDonald,Tristar Gym,"Quesnel, British Columbia, Canada","Montreal, Quebec"
Ryan MacDonald,Disorderly Conduct,"North Platte, Nebraska","North Platte, Nebraska"
Veronica Macedo,MMA Factory,"Caracas, Venezuela",Caracas
Lyoto Machida,Black House MMA,"Salvador, Bahia, Brazil","Los Angeles, California"
War Machine,N/A,United States,"Las Vegas, Nevada"
Reza Madadi,,,
Don Madge,Fight Fit Militia,"Cape Town, South Africa","Gardens, Cape Town, Western Cape, South Africa"
Ryan Madigan,,,
Jon Madsen,HIT Squad,"Sioux Falls, South Dakota, United States","Alexandria, Minnesota"
Mark Madsen,N/A,"Nykobing Falster, Denmark","Maribo, Denmark"
Leonardo Mafra,Kings MMA,Brazil,"Balneario Camboriu, Santa Catarina, Brazil"
Vinny Magalhaes,Xtreme Couture,"Rio de Janeiro, Rio de Janeiro, Brazil","Las Vegas, Nevada"
Caio Magalhaes,Teixeira MMA & Fitness,"Sobral, Ceara, Brazil","Fortaleza, Ceara, Brazil"
Bernardo Magalhaes,,,
Angela Magana,Phuket Top Team,"Farmington, New Mexico",Thailand
Neil Magny,Elevation Fight Team,United States,"Dolton, Illinois"
Rashid Magomedov,,,
Ruslan Magomedov,American Kickboxing Academy,Russia,Russia
Zabit Magomedsharipov,DagFighter,Russia,"Khasavyurt, Russia"
John Maguire,Tsunami Gym,"Peterborough, Cambridgeshire, United Kingdom","Cambridge, England"
Demian Maia,Vila da Luta,"Sao Paulo, Sao Paulo, Brazil","Sao Paulo, Sao Paulo, Brazil"
Jennifer Maia,Chute Boxe Monstro,"Curitiba, Parana, Brazil","Curitiba, Parana, Brazil"
Levan Makashvili,N/A,United States,New York
John Makdessi,N/A,"Halifax, Nova Scotia, Canada","Laval, Quebec"
Islam Makhachev,,,
Zach Makovsky,Tristar Gym,"Bethlehem, Pennsylvania, United States","Philadelphia, Pennsylvania"
Fabio Maldonado,Team Maldonado,"Sorocaba, Sao Paulo, Brazil","Sao Paulo, Sao Paulo, Brazil"
Bea Malecki,Fortis MMA,Sweden,"Stockholm, Sweden"
Nazareno Malegarie,Ataque Duplo / Team Tavares,"Buenos Aires, Argentina","Florianopolis, Santa Catarina, Brazil"
Troy Mandaloniz,,,
Nate Maness,TAG MMA,United States,"Henderson, Kentucky"
Jon Manley,Jon Manley MMA,"Adams, Massachusetts, United States","Ludlow, Massachusetts"
Jimi Manuwa,Keddles Gym,"Sacramento, California","London, England"
Cristiano Marcello,CM System,"Rio de Janeiro, Rio de Janeiro, Brazil","Curitiba, Parana, Brazil"
Jose Maria,Team Nogueira,"Alto Santo, Ceara, Brazil","Limoeiro do Norte, Ceara, Brazil"
Marcos Mariano,Team 4 Life MMA,Brazil,"Guarulhos, Sao Paulo, Brazil"
Enrique Marin,Sutemi Academy,"Seville, Andalusia, Spain","Seville, Andalusia, Spain"
Ronny Markes,Xtreme Couture,"Natal, Rio Grande do Norte, Brazil","Orlando, Florida"
Rory Markham,Miletich Fighting Systems,"Chicago, Illinois, United States","Bettendorf, Iowa"
Randa Markos,Tristar Gym,Iraq,"Montreal, Quebec, Canada"
Christina Marks,,,
Nate Marquardt,Genesis Training Academy,"Lander, Wyoming, United States","Denver, Colorado"
Danilo Marques,Vila da Luta,"Sao Paulo, Sao Paulo, Brazil","Sao Paulo, Sao Paulo, Brazil"
Julian Marquez,Syndicate MMA,"Kansas City, Missouri","Las Vegas, Nevada"
Carmelo Marrero,American Top Team,"Douglasville, Pennsylvania, United States","Douglasville, Pennsylvania"
Eliot Marshall,N/A,"Franklinville, New Jersey, United States","Boulder, Colorado"
Jack Marshman,Tillery Combat MMA Academy,Wales,"Abertillery, Wales"
Terry Martin,Iron Academy,"Chicago, Illinois, United States","Chicago, Illinois"
Anthony Rocco Martin,American Top Team,"Palos Heights, Illinois, United States","Boston, Massachusetts"
Mallory Martin,Elevation Fight Team,United States,"Denver, Colorado"
Danny Martinez,Alliance MMA,"Tempe, Arizona","Chula Vista, California"
Henry Martinez,Jackson Wink MMA,"Espanola, New Mexico, United States","Albuquerque, New Mexico"
Jonathan Martinez,Different Breed MMA,"Los Angeles, California","Plainview, Texas"
Roque Martinez,Spike 22,Guam,Guam
Adriano Martins,,,
Lucas Martins,Capital da Luta,"Montes Claros, Minas Gerais, Brazil","Sao Paulo, Sao Paulo, Brazil"
Bristol Marunde,West Coast Fight Team,"Fairbanks, Alaska, United States","Las Vegas, Nevada"
Mike Massenzio,Team Bombsquad,"Teaneck, New Jersey, United States","Paterson, New Jersey"
Jorge Masvidal,American Top Team,"Miami, Florida, United States","Miami, Florida"
Tateki Matsuda,Sityodtong Boston,"Tokyo, Japan","Boston, Massachusetts"
Jake Matthews,Nexus,Australia,"Melbourne, Victoria, Australia"
Vladimir Matyushenko,VMAT,Belarus,"El Segundo, California"
Jack May,N/A,United States,"Whittier, California"
Don'Tale Mayes,Bronx Hill MMA,United States,"Jeffersonville, Indiana, United States"
Gray Maynard,Power MMA,"Phoenix, Arizona, United States","Santa Cruz, California"
Gina Mazany,Xtreme Couture,"Anchorage, Alaska, United States","Las Vegas, Nevada"
Sabina Mazo,Muay Thai Medellin,"Medellín, Antioquia, Colombia","Huntington Beach, California"
Michael McBride,Des Moines Jiu Jitsu Academy,United States,"Webster City, Iowa"
Ian McCall,Team Oyama,"Costa Mesa, California","Irvine, California"
Molly McCann,Next Generation MMA Liverpool,"Liverpool, England","Liverpool, England"
Charles McCarthy,N/A,United States,"Miami, Florida, USA"
Sean McCorkle,C-4 MMA,"Indianapolis, Indiana, United States","Indianapolis, Indiana"
Kris McCray,Team Gold Metal Grappling,"Schweinfurt, Germany","New York, New York, United States"
Tamdan McCrory,Central New York MMA,"Ithaca, New York, United States","Binghamton, New York"
Justin McCully,Team Punishment,United States,"Orange, California"
Robert McDaniel,Jackson Wink MMA,United States,"Muncie, Indiana"
Michael McDonald,Last Stand Fight Team,"Oakdale, California, United States","Modesto, California"
Drew McFedries,Champions MMA,"Ames, Iowa, United States","Bettendorf, Iowa"
Court McGee,The Pit Elevated Fight Team,"Ogden, Utah, United States","Orem, Utah"
Ryan McGillivray,Legends Training Centre,"Edmonton, Alberta, Canada","Edmonton, Alberta"
Conor McGregor,Straight Blast Gym Ireland,"Dublin, Ireland","Dublin, Ireland"
Antonio McKee,Team Bodyshop MMA,"Las Vegas, Nevada, United States","Long Beach, California"
Rhys McKee,Next Generation I.M.M.A,Northern Ireland,Northern Ireland
Tim McKenzie,,,
Cody McKenzie,Cesar Gracie Jiu Jitsu,"Cordova, Alaska, United States","Spokane, Washington"
Garreth McLellan,,,
Sara McMann,Revolution Mixed Martial Arts,"Takoma Park, Maryland, United States","Gaffney, South Carolina"
James McSweeney,N/A,"London, England","Denver, Colorado"
Tim Means,Fit NHB,"Wilburton, Oklahoma, United States","Albuquerque, New Mexico"
Yancy Medeiros,Team Hakuilua,"Makaha, Hawaii, United States","Makaha, Hawaii"
Anistavio Medeiros,N/A,Brazil,"Natal, Brazil"
Emil Meek,MMA Trondheim,Norway,"Trondheim, Norway"
Gerald Meerschaert,Agallar Combative Systems,"Racine, Wisconsin, United States","Milwaukee, Wisconsin"
Jordan Mein,Canadian Martial Arts Centre,Canada,"Lethbridge, Alberta"
Brian Melancon,Paradigm Training Center,United States,"Houston, Texas"
Brandon Melendez,Jeremy Horn's Elite Performance,United States,"Bountiful, Utah"
Gilbert Melendez,Cesar Gracie Jiu Jitsu,"Santa Ana, California, United States","San Francisco, California"
Vanessa Melo,Vila da Luta,"Sao Paulo, Sao Paulo, Brazil","Taboao da Serra, Sao Paulo, Brazil"
Antonio Mendes,American Top Team,Brazil,"Fortaleza, Ceara, Brazil"
Chad Mendes,Team Alpha Male,"Hanford, California, United States","Sacramento, California"
Augusto Mendes,MMA Lab,"Rio de Janeiro, Brazil","Glendale, Arizona"
Eddie Mendez,,,
Alonzo Menifield,Saekson's Muay Thai,United States,Texas
Ivan Menjivar,Tristar Gym,"La Paz, El Salvador","Montreal, Quebec"
Joe Merritt,Millennia MMA,United States,California
Jonathan Meunier,Tristar Quebec,"Quebec City, Quebec, Canada","Quebec City, Quebec"
Yaotzin Meza,MMA Lab,"Santa Ana, California, United States","Glendale, Arizona"
Andreas Michailidis,EFL Martial Arts Academy,"Athens, Greece","Athens, Greece"
David Michaud,Next Edge Academy of Martial Arts,"Pine Ridge, South Dakota, United States","Sioux Falls, South Dakota"
Bojan Mihajlovic,Family Fight Team,Serbia,"Novi Sad, Serbia"
Billy Miles,Capital City Fighting Alliance,United States,"Lincoln, California, USA"
Curtis Millender,N/A,"Anaheim, California","Anaheim, California"
Jason Miller,Reign MMA,"Atlanta, Georgia, United States","Orange County, California"
Dan Miller,AMA Fight Club,"Sparta, New Jersey, United States","Whippany, New Jersey"
Jim Miller,Miller Brothers MMA,"Sparta, New Jersey, United States","Whippany, New Jersey"
Cole Miller,American Top Team,"Augusta, Georgia, United States","Coconut Creek, Florida"
Che Mills,Trojan Freefighters,"Gloucester, England, United Kingdom","Gloucester, England"
Adam Milstead,World Class MMA,"Calvert, Maryland, United States","Beaver Falls, Pennsylvania"
Alberto Mina,Epic MMA,Brazil,"Campina Grande, Paraiba"
Darrick Minner,Disorderly Conduct,United States,Nebraska
Carlton Minus,N/A,United States,"Anchorage, Alaska"
Stipe Miocic,Strong Style Fight Team,"Euclid, Ohio, United States","Independence, Ohio"
Frank Mir,Jackson Wink MMA,"Las Vegas, Nevada, United States","Las Vegas, Nevada"
Mario Miranda,,,
Vitor Miranda,,,
Dokonjonosuke Mishima,Cobra Kai MMA Dojo,"Amagasaki, Japan","Osaka, Japan"
David Mitchell,Team Alpha Male,"Berkeley, California, United States","Santa Rosa, California"
Danny Mitchell,Asylum Vale Tudo,England,"Doncaster, Yorkshire, England"
Bryce Mitchell,Barata MMA,"Cabot, Arkansas","Searcy, Arkansas "
Roman Mitichyan,,,
Matt Mitrione,N/A,"Springfield, Illinois, United States","Milwaukee, Wisconsin"
Eiji Mitsuoka,Freelance,Japan,"Tokyo, Japan"
Takeya Mizugaki,Shooting Gym Hakkei,"Ibaragi, Japan","Hayama, Kanagawa, Japan"
Roxanne Modafferi,Syndicate MMA,"Wilmington, Delaware, United States","Las Vegas, Nevada"
Bobby Moffett,MMA Lab,United States,"Homewood, Illinois"
Nate Mohr,Team Curran MMA,United States,"Cedar Falls, Iowa"
Renato Moicano,Constrictor Team,Brazil,"Brasilia, Federal District, Brazil"
Thiago Moises,American Top Team,"Idaiatuba, Sao Paulo, Brazil","Indaiatuba, Sao Paulo, Brazil"
Ashkan Mokhtarian,,,
