Name,Affiliation,Born,Fighting out of
Maycee Barber,Fort Collins MMA,United States,"Milwaukee, Wisconsin"
Bryan Barberena,MMA Lab,"Montclair, California","Glendale, Arizona"
Edson Barboza,American Top Team,"Nova Friburgo, Rio de Janeiro, Brazil","Jupiter, Florida"
Raoni Barcelos,Rizzo RVT,"Rio de Janeiro, Rio de Janeiro, Brazil","Rio de Janeiro, Rio de Janeiro, Brazil"
Luke Barnatt,Tsunami Gym,England,"Cambridge, Cambridgeshire, England"
Josh Barnett,UWF USA,"Seattle, Washington, United States","Seattle, Washington"
David Baron,Haute Tension,France,"Bois-Colombes, Hauts-de-Seine, France"
Phil Baroni,American Kickboxing Academy,"Long Island, New York, United States","Las Vegas, Nevada"
Dan Barrera,,United States,"Radcliff, Kentucky"
Peter Barrett,Sityodtong Boston,United States,"Plymouth, Massachusetts"
Marc-Andre Barriault,Patenaude Kung Fu - Quebec City,"Gatineau, Quebec, Canada","Quebec City, Quebec"
Alexandre Barros,Baixinho Team,"Rio de Janeiro, Brazil","Rio de Janeiro, Brazil"
Francimar Barroso,Nova União,"Xapuri, Acre, Brazil","Rio de Janeiro, Rio de Janeiro, Brazil"
Pat Barry,Roufusport MMA Academy,"New Orleans East, Louisiana, United States","Milwaukee, Wisconsin"
Enrique Barzola,American Kickboxing Academy,"Lima, Peru","Lima, Peru"
Stephen Bass,Mad House Gym,"Shreveport, Louisiana, United States","Savannah, Georgia"
Shayna Baszler,UWF USA,United States,"Sioux Falls, South Dakota"
Danaa Batgerel,Jackson Wink MMA,"Erdenetsagaan, Mongolia","Albuquerque, New Mexico"
Michel Batista,,"Camagüey, Cuba",Florida
Mario Bautista,MMA Lab,United States,"Glendale, Arizona"
Chris Beal,Knuckleheadz Boxing,"Brooklyn, United States","Ventura, California"
Ariel Beck,,United States,"Helena, Montana"
Johnny Bedford,Fitness Fight Factory,"Woodville, Ohio, United States","Colleyville, Texas"
Mirsad Bektic,Tristar Gym,"Srebrenica, Bosnia and Herzegovina","Coconut Creek, Florida"
Diana Belbita,House of Champions MMA,"Strehaia, Romania","Stoney Creek, Ontario, Canada"
