Fighter_one,Fighter_two,Opening_Odds_f1,Closing_Odds_f1,Average_Odds_f1,Opening_Odds_f2,Closing_Odds_f2,Average_Odds_f2,Event,Date,duplicates
Yorgan de Castro,Carlton Little,NaN,NaN,NaN,NaN,NaN,NaN,CES MMA 54: Andrews vs. Logan,Jan 19th 2019,CCLNNNNYaaaaadeegillnnooorrrstttt
Yorgan de Castro,David White,NaN,NaN,NaN,NaN,NaN,NaN,CES MMA 50: Paiva vs. Ewell,Jun 15th 2018,CDNNNNWYaaaaaddeeghiinoorrsttv
Geraldo de Freitas,Chris Gutierrez,+150,-177,-145,-190,+115,+158,UFC on ESPN+ 14: Shevchenko vs. Carmouche 2,Aug 10th 2019,+-114558CFGGaaddeeeeehiiilorrrrrssttuz
Philip de Fries,Michal Andryszak,+260,+350,+412,-380,-588,-548,KSW 43: Janikowski vs. Bahati,Apr 14th 2018,+-124458AFMPaacddeehhiiiikllnprrssyz
Philip de Fries,James Thompson,-230,-450,-325,+170,+250,+309,Bellator 191: McDonald vs. Ligier,Dec 15th 2017,+-023359FJPTadeeehhiiilmmnoopprsss
Philip de Fries,Brett Rogers,NaN,NaN,NaN,NaN,NaN,NaN,IGF - Inoki Bom-Ba-Ye 2013,Dec 31st 2013,BFNNNNPRaadeeeeghiiiloprrrsstt
Philip de Fries,Matt Mitrione,+250,+190,+245,-350,-340,-250,UFC on Fuel TV 9: Mousasi vs. Latifi,Apr 6th 2013,+-022455FMMPadeeehiiiiilnoprrsttt
Philip de Fries,Todd Duffee,+200,+250,+315,-280,-400,-340,UFC 155: Dos Santos vs. Velasquez II,Dec 29th 2012,+-013345DFPTdddeeeeffhiiiloprsu
Philip de Fries,Stipe Miocic,+275,+300,+426,-355,-625,-499,UFC on FUEL TV 1: Ellenberger vs. Sanchez,Feb 15th 2012,+-244699FMPSccdeeehiiiiiilopprst
Chris de La Rocha,Daniel Omielanczuk,+115,+110,+125,-155,-160,-130,UFC Fight Night 72: Bisping vs. Leites,Jul 18th 2015,+-011235CDLORaaaaccdeeehhiiikllmnnorsuz
Montana de La Rosa,Mara Romero Borella,-215,-200,-165,+175,+133,+153,UFC on ESPN+ 25: Anderson vs. Blachowicz 2,Feb 15th 2020,+-113556BLMMRRaaaaaaadeeellmnnooooorrrst
Montana de La Rosa,Andrea Lee,+145,+144,+164,-185,-200,-164,UFC on ESPN+ 12: Moicano vs. The Korean Zombie,Jun 22nd 2019,+-114466ALLMRaaaaaddeeeennnoorst
Montana de La Rosa,Nadia Kassem,-120,-280,-223,-120,+175,+216,UFC 234: Adesanya vs. Silva,Feb 9th 2019,+-122236KLMNRaaaaaaaddeeimnnoossst
Montana de La Rosa,Rachael Ostovich,-120,-180,-142,-120,+120,+135,UFC: The Ultimate Fighter 27 Finale: Tavares vs. Adesanya,Jul 6th 2018,+-112345LMORRaaaaaaccdeehhilnnooossttv
Montana de La Rosa,Christina Marks,-400,-425,-350,+300,+270,+355,UFC: The Ultimate Fighter 26 Finale,Dec 1st 2017,+-033555CLMMRaaaaaadehiiknnnoorrssstt
Mark de La Rosa,Jordan Espinosa,+185,+124,+143,-225,-175,-155,UFC Fight Night,Jun 13th 2020,+-113455EJLMRaaaaaddeiknnoooprrsss
Mark de La Rosa,Raulian Paiva,-105,+180,+241,-125,-280,-245,UFC on ESPN+ 25: Anderson vs. Blachowicz 2,Feb 15th 2020,+-122445LMPRRaaaaaaadeiiklnorsuv
Mark de La Rosa,Kai Kara-France,+240,+140,+187,-320,-230,-180,UFC on ESPN+ 15: Andrade vs. Zhang,Aug 31st 2019,+--011788FKKLMRaaaaaaacdeeiknorrrs
Mark de La Rosa,Alex Perez,+145,+250,+328,-185,-450,-333,UFC on ESPN 2: Barboza vs. Gaethje,Mar 30th 2019,+-233338ALMPRaaadeeeeklorrsxz
Mark de La Rosa,Joby Sanchez,-185,-280,-224,+145,+190,+225,UFC Fight Night 139: Korean Zombie vs. Rodriguez,Nov 10th 2018,+-222245JLMRSaaaabcdeehknoorsyz
Mark de La Rosa,Elias Garcia,-110,+105,+120,-130,-150,-132,UFC Fight Night 133: Dos Santos vs. Ivanov,Jul 14th 2018,+-011223EGLMRaaaaaacdeiiklorrss
Mark de La Rosa,Tim Elliott,+170,+157,+180,-230,-240,-186,UFC 219: Cyborg vs. Holm,Dec 30th 2017,+-011688ELMRTaaadeiikllmoorstt
Mark de La Rosa,Steven Peterson,+150,+120,+126,-190,-160,-154,Legacy FC 61: Peterson vs. De La Rosa,Oct 14th 2016,+-112456LMPRSaaadeeeeeknnoorrssttv
Mike de La Torre,Myles Jury,+325,+300,+385,-475,-500,-400,UFC 210: Cormier vs. Johnson 2,Apr 8th 2017,+-003458JLMMTadeeeeiklorrrsuyy
Mike de La Torre,Godofredo Pepey,+115,-115,+125,-155,-160,-106,UFC Fight Night 95: Cyborg vs. Lansberg,Sep 24th 2016,+-011256GLMPTadddeeeeeefikooooprrry
Mike de La Torre,Yui Chul Nam,+115,-110,+100,-155,-125,-110,UFC Fight Night 79: Henderson vs. Masvidal,Nov 28th 2015,+-000111CLMNTYaadeeehiiklmorruu
Mike de La Torre,Tiago Trator,+135,+175,+210,-175,-265,-225,UFC Fight Night 61: Bigfoot vs. Mir,Feb 22nd 2015,+-012225LMTTTaaadeeegiikooorrrrt
Mike de La Torre,Brian Ortega,+100,+150,+181,-140,-205,-175,UFC on FOX 12: Lawler vs. Brown,Jul 26th 2014,+-111578BLMOTaaadeeeegiiknorrrrt
Rodrigo Lima,Matt Betzold,-405,-405,-387,+285,+285,+303,Legacy FC 40: East vs. Ritani-Coe,Mar 20th 2015,+-033378BLMRaaddegiilmooortttz
Rodrigo Lima,Efrain Escudero,-110,-170,-157,-130,+125,+155,UFC Fight Night 60: Henderson vs. Thatch,Feb 14th 2015,+-115557EELRaacddefgiiimnooorrrsu
Rodrigo Lima,Rafael Silva,-385,-385,-289,+265,+235,+275,Bellator Fighting Championship 97: Chandler vs. Rickels,Jul 31st 2013,+-225789LRRSaaaadefgiiillmoorv
Rodrigo Lima,Ronnie Mann,+160,-115,+120,-210,-135,-115,Bellator Fighting Championship 94: Awad vs. Rickels,Mar 28th 2013,+-011125LMRRaadegiiimnnnnooor
Rodrigo Lima,Hiroshi Nakamura,-145,-170,-165,+105,+120,+155,Bellator Fighting Championship 64,Apr 6th 2012,+-115556HLNRaaaadghiiiikmmooorrrsu
Alex Oliveira,Max Griffin,-215,-165,-135,+175,+105,+130,UFC 248: Adesanya vs. Romero,Mar 7th 2020,+-011335AGMOaaeeffiiiillnrrvxx
Alex Oliveira,Mike Perry,-175,-189,-160,+135,+125,+150,UFC on ESPN+ 8: Jacare vs. Hermansson,Apr 27th 2019,+-001156AMOPaeeeeiiikllrrrvxy
Alex Oliveira,Gunnar Nelson,-120,+115,+138,-120,-160,-145,UFC 231: Holloway vs. Ortega,Dec 8th 2018,+-113458AGNOaaeeeiilllnnnorrsuvx
Alex Oliveira,Carlo Pedersoli Jr.,-245,-565,-455,+175,+320,+415,UFC Fight Night 137: Santos vs. Anders,Sep 22nd 2018,+-144555ACJOPaadeeeeiiilllloorrrrsvx
Alex Oliveira,Yancy Medeiros,-215,-395,-218,+165,+173,+330,UFC 218: Holloway vs. Aldo 2,Dec 2nd 2017,+-012338AMOYaacdeeeeiiillnorrsvxy
Alex Oliveira,Ryan Laflare,+160,+135,+160,-210,-205,-164,UFC on FOX 25: Weidman vs. Gastelum,Jul 22nd 2017,+-011466ALORaaaaeeefiilllnrrvxy
Alex Oliveira,Tim Means,+125,+150,+180,-165,-225,-189,UFC Fight Night 106: Belfort vs. Gastelum,Mar 11th 2017,+-011889AMOTaaeeeiiillmnrsvx
Alex Oliveira,Tim Means,+100,-175,-135,-140,+110,+135,UFC 207: Nunes vs. Rousey,Dec 30th 2016,+-113355AMOTaaeeeiiillmnrsvx
Alex Oliveira,Will Brooks,+280,+210,+271,-360,-360,-278,UFC Fight Night 96: Lineker vs. Dodson,Oct 1st 2016,+-122778ABOWaeeiiiklllloorrsvx
Alex Oliveira,James Moontasri,-265,-239,-200,+185,+165,+204,UFC on FOX 20: Holm vs. Shevchenko,Jul 23rd 2016,+-000224AJMOaaaeeeiiillmnoorrsstvx
Alex Oliveira,Piotr Hallmann,-315,-300,-260,+235,+190,+248,UFC Fight Night 77: Belfort vs. Henderson 3,Nov 7th 2015,+-022468AHOPaaaeeiiillllmnnorrtvx
Alex Oliveira,Joe Merritt,-350,-520,-400,+250,+300,+400,UFC Fight Night 70: Machida vs. Romero,Jun 27th 2015,+-000044AJMOaeeeeiiillorrrttvx
Alex Oliveira,K.J. Noons,-115,-185,-150,-125,+120,+164,UFC Fight Night 67: Alves vs. Condit,May 30th 2015,+-011456AJKNOaeeiillnoorsvx
Jorge de Oliveira,Christos Giagos,+150,+150,+180,-190,-217,-185,UFC Fight Night 62: Maia vs. LaFlare,Mar 21st 2015,+-011588CGJOaadeeegghiiiilooorrrssstv
Maria Oliveira,Marina Rodriguez,NaN,NaN,NaN,NaN,NaN,NaN,Dana White's Contender Series Brazil 2,Aug 31st 2018,MMNNNNORaaaaaaadeegiiiiilnorrrruvz
Maria Oliveira,Kanna Asakura,-175,-227,-190,+130,+145,+167,Rizin FF 9: World Grand Prix Final Round,Dec 31st 2017,+-011679AKMOaaaaaaaeiiiklnnrrrsuv
Maria Oliveira,Alyssa Garcia,NaN,NaN,NaN,NaN,NaN,NaN,Rizin FF 7: World Grand Prix Opening Round Part 2,Oct 15th 2017,AGMNNNNOaaaaaaaaceiiiillrrrssvy
Isabella de Padua,Ariane Lipski,+240,+195,+250,-320,-300,-250,UFC on ESPN+ 22: Blachowicz vs. Jacare,Nov 16th 2019,+-002255AILPaaaaabddeeeiiikllnprssu
Germaine de Randamie,Amanda Nunes,+225,+220,+379,-303,-500,-377,UFC 245: Usman vs. Covington,Dec 14th 2019,+-337779AGNRaaaaadddeeeeeiimmmnnnnrsu
Germaine de Randamie,Aspen Ladd,-110,-109,+120,-130,-149,-111,UFC on ESPN+ 13: De Randamie vs. Ladd,Jul 13th 2019,+-011112AGLRaaaaddddeeeeeiimmnnnprs
Germaine de Randamie,Raquel Pennington,-175,-275,-200,+135,+170,+200,UFC Fight Night 139: Korean Zombie vs. Rodriguez,Nov 10th 2018,+-000022GPRRaaaaddeeeeeegiiilmmnnnnnnoqrtu
Germaine de Randamie,Holly Holm,+100,-137,-110,-130,-120,+113,UFC 208: Holm vs. de Randamie,Feb 11th 2017,+-011113GHHRaaaddeeeeiilllmmmnnoory
Germaine de Randamie,Anna Elmose,-380,-475,-345,+260,+260,+350,UFC Fight Night 87: Overeem vs. Arlovski,May 8th 2016,+-033455AEGRaaaaddeeeeeiilmmmnnnnors
Germaine de Randamie,Larissa Pacheco,-110,-115,+115,-130,-152,-115,UFC 185: Pettis vs. dos Anjos,Mar 14th 2015,+-111155GLPRaaaaaaccddeeeeehiiimmnnorrss
Germaine de Randamie,Amanda Nunes,-140,-170,-125,+100,+105,+140,UFC Fight Night 31: Fight For The Troops III,Nov 6th 2013,+-011245AGNRaaaaadddeeeeeiimmmnnnnrsu
Germaine de Randamie,Julie Kedzie,+115,-200,-160,-155,+120,+170,UFC on FOX 8: Johnson vs. Moraga,Jul 27th 2013,+-001167GJKRaaadddeeeeeeeiiiilmmnnruz
Germaine de Randamie,Hiroko Yamanaka,-200,-142,-115,+150,-115,+112,Strikeforce: Rousey vs. Kaufman,Aug 18th 2012,+-111125GHRYaaaaaaaddeeeeiiikkmmmnnnoorr
Germaine de Randamie,Stephanie Webber,NaN,NaN,NaN,NaN,NaN,NaN,Strikeforce: Diaz vs. Cyborg,Jan 29th 2011,GNNNNRSWaaaaaabbddeeeeeeeehiiimmnnnprrt
Cesario de Souza,Dan Bonnell,+200,+200,+210,-260,-270,-260,WCF 9,Feb 26th 2010,+-001226BCDSaaadeeeillnnnooorsuz
Tom Deblass,Jason Lambert,-255,-255,-235,+195,+175,+195,Bellator Fighting Championship 108: Rampage vs. Beltran,Nov 15th 2013,+-123559DJLTaaabbeelmmnoorssst
Tom Deblass,Carlos Brooks,NaN,NaN,NaN,NaN,NaN,NaN,Bellator Fighting Championship 95: Curran vs. Shamhalaev,Apr 4th 2013,BCDNNNNTaaaabekllmoooorrssss
Tom Deblass,Riki Fukuda,+220,+210,+260,-280,-340,-254,UFC on FUEL TV 6: Franklin vs. Le,Nov 10th 2012,+-022456DFRTaabdeiikklmossuu
Tom Deblass,Cyrille Diabate,-175,-250,-192,+145,+160,+186,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 14th 2012,+-112689CDDTaaabbeeeiilllmorssty
Gleidson Dejesus,Jose Torres,+350,+355,+401,-530,-591,-470,Titan FC 46: Torres vs. DeJesus,Nov 17th 2017,+-001447DGJTdeeeeeijlnooorrsssssu
Gleidson Dejesus,Edir Terry,-140,-140,-117,+100,-110,+120,Titan FC 44: Sharipov vs. Torres,May 19th 2017,+-011127DEGTddeeeeiijlnorrrsssuy
Shane Del Rosario,Stipe Miocic,-140,+135,+153,+100,-175,-165,UFC 146: Dos Santos vs. Mir,May 26th 2012,+-113556DMRSSaacceeehiiiilnoooprst
Shane Del Rosario,Lavar Johnson,-245,-250,-185,+195,+160,+190,Strikeforce: Fedor vs. Silva,Feb 12th 2011,+-011589DJLRSaaaaeehhilnnnoooorrssv
Shane Del Rosario,Lolohea Mahe,-245,-450,-305,+195,+255,+300,Strikeforce Challengers 9,Jul 23rd 2010,+-000335DLMRSaaaaeeeehhhillnoooors
Shane Del Rosario,Carl Seumanutafa,NaN,NaN,NaN,NaN,NaN,NaN,ShoXC: Elite Challenger Series,Sep 26th 2008,CDNNNNRSSaaaaaaaaeeefhillmnnoorrstuu
Shane Del Rosario,Analu Brash,NaN,NaN,NaN,NaN,NaN,NaN,ShoXC: Elite Challenger Series,Mar 21st 2008,ABDNNNNRSaaaaaaeehhillnnoorrssu
Humberto Deleon,Adrian Yanez,NaN,NaN,NaN,NaN,NaN,NaN,Legacy FC 55: Ledet vs. Ritani-Coe,May 13th 2016,ADHNNNNYaaaabdeeeeilmnnnoorrtuz
Humberto Deleon,Chad Robichaux,NaN,NaN,NaN,NaN,NaN,NaN,Strikeforce: Houston,Aug 21st 2010,CDHNNNNRaaaabbcdeeehhilmnooortuux
Humberto Deleon,Jimmy Flick,NaN,NaN,NaN,NaN,NaN,NaN,Bellator Fighting Championships 20,May 27th 2010,DFHJNNNNaabceeeiikllmmmnoortuy
Rolando Delgado,Jameel Massouh,+195,+150,+188,-245,-210,-200,Bellator Fighting Championship 37,Mar 19th 2011,+-001288DJMRaaaaddeeeghlllmnoooossu
Rolando Delgado,Andre Winner,+325,+220,+325,-500,-500,-333,UFC 105: Couture vs Vera,Nov 14th 2009,+-233335ADRWaadddeeegillnnnnooorr
Rolando Delgado,Paul Kelly,+305,+275,+330,-425,-500,-400,UFC 99: The Comeback,Jun 13th 2009,+-000334DKPRaaaddeeglllllnooouy
Rolando Delgado,John Polakowski,-110,+102,+115,-120,-145,-112,UFC: The Ultimate Fighter 8 Finale,Dec 13th 2008,+-111125DJPRaaaddeghikklllnnoooooosw
Israel Delgado,Kaleio Romero,+150,+147,+206,-200,-245,-200,Combate 50: Fresno,Nov 23rd 2019,+-000226DIKRaaadeeeegilllmoooorrs
Israel Delgado,J.J. Okanovich,NaN,NaN,NaN,NaN,NaN,NaN,Bellator 142: Dynamite,Sep 19th 2015,DIJJNNNNOaaaaacdeeghikllnoorsv
Roland Delorme,Yuta Sasaki,+100,+120,+135,-140,-164,-140,UFC Fight Night 48: Bisping vs. Le,Aug 23rd 2014,+-011345DRSYaaaadeeikllmnoorstu
Roland Delorme,Michinori Tanaka,-140,+120,+140,+100,-165,-149,UFC 174: Johnson vs. Bagautinov,Jun 14th 2014,+-011449DMRTaaaacdeehiiikllmnnnooorr
Roland Delorme,Edwin Figueroa,-160,-250,-136,+120,+107,+175,UFC 161: Evans vs. Henderson,Jun 15th 2013,+-113567DEFRaaddeeegiillmnnooorruw
Roland Delorme,Francisco Rivera,+140,+100,+131,-170,-145,-130,UFC 149: Faber vs. Barao,Jul 21st 2012,+-011133DFRRaaaccdeeeiillmnnooorrrsv
Roland Delorme,Nick Denis,+155,+205,+261,-205,-303,-274,UFC on FOX 3: Diaz vs. Miller,May 5th 2012,+-122467DDNRacdeeeiikllmnnoors
Roland Delorme,Josh Ferguson,-115,-125,+100,-115,-139,+100,UFC: The Ultimate Fighter 14 Finale,Dec 3rd 2011,++000011DFJRadeeeghllmnnoooorrssu
Roland Delorme,Josh Hill,NaN,NaN,NaN,NaN,NaN,NaN,Score Fighting Series,Jun 10th 2011,DHJNNNNRaaadeehillllmnooors
Jon Delos Reyes,Neil Seery,+145,-115,+118,-185,-135,-115,UFC Fight Night 76: Holohan vs. Smolka,Oct 24th 2015,+-111158DJNRSeeeeeeillnoorssyy
Jon Delos Reyes,Roldan Sangcha-An,-190,-195,-147,+150,+125,+155,UFC Fight Night 66: Edgar vs. Faber,May 16th 2015,+--114557ADJRRSaaacdeeeghllnnnnooossy
Jon Delos Reyes,Kyoji Horiguchi,+365,+418,+550,-555,-800,-586,UFC Fight Night 52: Hunt vs. Nelson,Sep 20th 2014,+-055568DHJKRceeeghiiijlnoooorssuyy
Jon Delos Reyes,Dustin Kimura,+235,+245,+325,-315,-400,-360,UFC Fight Night 34: Saffiedine vs. Lim,Jan 4th 2014,+-023356DDJKRaeeeiilmnnoorssstuuy
Justin Demoney,Jesse Finney,NaN,NaN,NaN,NaN,NaN,NaN,Strikeforce St. Louis: Heavy Artillery,May 15th 2010,DFJJNNNNaaeeeeeiimnnnnossstuyy
Chris Dempsey,Ed Ruth,+295,+350,+645,-360,-900,-588,Bellator 186: Bader vs. Vassell,Nov 3rd 2017,+-455688CDERdeehhimprsstuy
Chris Dempsey,Jonathan Wilson,+150,+105,+118,-190,-145,-122,UFC Fight Night 73: Saint Preux vs. Teixeira,Aug 8th 2015,+-111228CDJWaaeehhiilmnnnooprsssty
Chris Dempsey,Eddie Gordon,+260,+295,+375,-380,-500,-360,UFC on FOX 15: Machida vs. Rockhold,Apr 18th 2015,+-033567CDEGdddeeehiimnooprrssy
Chris Dempsey,Ilir Latifi,+125,+217,+265,-175,-310,-275,UFC Fight Night 46: McGregor vs. Brandao,Jul 19th 2014,+-225567CDILaeefhiiiilmprrssty
Nick Denis,Joseph Sandoval,-235,-333,-264,+175,+220,+250,UFC on FX 1: Guillard vs. Miller,Jan 20th 2012,+-022456DJNSaacdeehiiklnnoopssv
Nick Denis,Yuji Hoshino,-255,-250,-200,+205,+160,+190,WVR Sengoku Raiden Championships 12,Mar 7th 2010,+-000129DHNYcehiiiijknnoossu
Nick Denis,Phil Harris,NaN,NaN,NaN,NaN,NaN,NaN,Agression MMA,Oct 24th 2009,DHNNNNNPaaacehiiiiklnrrss
Nick Denis,Marlon Sandro,+135,+175,+200,-165,-250,-225,WVR Sengoku: Eighth Battle,May 2nd 2009,+-002225DMNSaacdeiiklnnnoorrs
Nick Denis,Seiya Kawahara,-125,-125,-115,-105,-115,-105,WVR Sengoku: Seventh Battle,Mar 20th 2009,--011155DKNSaaaaaceehiiiknrswy
Thomas Denny,Sheldon Westcott,+275,+275,+280,-355,-370,-345,MFC 30: Up Close And Personal,Jun 10th 2011,+-023458DSTWacdeeehhlmnnnooossttty
Thomas Denny,Sheldon Westcott,+190,+220,+220,-240,-280,-280,MFC 28: Supremacy,Feb 25th 2011,+-002228DSTWacdeeehhlmnnnooossttty
Thomas Denny,Brandon Wolff,NaN,NaN,NaN,NaN,NaN,NaN,Call To Arms II,Aug 15th 2009,BDNNNNTWaaaadeffhlmnnnnooorsy
Thomas Denny,Pat Miletich,NaN,NaN,NaN,NaN,NaN,NaN,Adrenaline MMA 2,Dec 11th 2008,DMNNNNPTaaaaceehhiilmnnostty
Thomas Denny,Nick Diaz,+450,+400,+550,-600,-833,-601,EliteXC: Unfinished Business,Jul 26th 2008,+-001556DDNTaacehiikmnnosyz
Thomas Denny,Malaipet Sasiprapa,+100,-115,+126,-130,-140,-115,ShoXC: Elite Challenger Series,Mar 21st 2008,+-111256DMSTaaaaaaeehiilmnnoppprssty
Jason Dent,Tyler Combs,NaN,NaN,NaN,NaN,NaN,NaN,Bellator Fighting Championship 66,Apr 20th 2012,CDJNNNNTaaabeelmnnoorssty
Jason Dent,Daniel Straus,+185,+240,+249,-245,-300,-291,NAAFS: Caged Fury 15,Oct 15th 2011,+-122499DDJSaaaeeilnnnorssttu
Jason Dent,George Sotiropoulos,+220,+350,+525,-280,-825,-520,UFC 106: Ortiz vs Griffin 2,Nov 21st 2009,+-022555DGJSaeeegilnnooooooprrssttu
Jason Dent,Cameron Dollar,-275,-278,-200,+215,+170,+200,UFC: The Ultimate Fighter 9 Finale,Jun 20th 2009,+-000022CDDJaaaeellmnnnooorrst
Mackenzie Dern,Amanda Ribas,-245,-195,-149,+175,+120,+164,UFC on ESPN+ 19: Joanna vs. Waterson,Oct 12th 2019,+-114469ADMRaaaabcdeeeiikmnnnrsz
Mackenzie Dern,Ashley Yoder,-475,-600,-401,+325,+295,+405,UFC 222: Cyborg vs. Kunitskaya,Mar 3rd 2018,+-001445ADMYacdeeeeehiklnnorrsyz
Mackenzie Dern,Kaline Medeiros,-600,-745,-616,+400,+420,+454,Invicta FC 26: Maia vs. Niedzwiedz,Dec 8th 2017,+-144566DKMMaacdeeeeeeiiiklnnnorrsz
Mackenzie Dern,Mandy Polk,-1200,-3000,-1800,+600,+800,+1555,LFA 24: Frincu vs. Millender,Oct 13th 2017,+-00115558DMMPaacdeeeikklnnnoryz
Mackenzie Dern,Katherine Roy,-1500,-900,-840,+700,+500,+560,LFA 6: Junior vs. Rodriguez,Mar 10th 2017,+-004568DKMRaaceeeeehiiknnnorrtyz
Mackenzie Dern,Montana Stewart,-505,-825,-773,+335,+475,+527,Legacy FC 61: Peterson vs. De La Rosa,Oct 14th 2016,+-235777DMMSaaaaceeeeiknnnnorrtttwz
Mackenzie Dern,Kenia Rosas,-2000,-1700,-1565,+1000,+800,+935,Legacy FC 58: Drysdale vs. Spann,Jul 22nd 2016,+-1355569DKMRaaaceeeeiiknnnorssz
Booker Derousse,James Wade,NaN,NaN,NaN,NaN,NaN,NaN,Strikeforce: Shields vs Lawler,Jun 6th 2009,BDJNNNNWaaaadeeeeekmooorrsssu
Cory Devela,Louis Taylor,-140,-160,-124,+100,+105,+120,WSOF 29: Gaethje vs. Foster,Mar 12th 2016,+-011224CDLTaaeeillooorrsuvyy
Cory Devela,Bobby Voelker,-245,-240,-175,+195,+145,+190,Strikeforce Challengers 9,Jul 23rd 2010,+-011579BCDVabbeeeekllooorrvyy
Cory Devela,Luke Rockhold,-165,-135,-115,+135,-115,+115,Strikeforce Challengers: Santos vs Villasenor,Jun 19th 2009,+-111155CDLRacdeeehkklloooruvy
Cory Devela,Terry Martin,+165,+110,+135,-205,-165,-140,Strikeforce At The Mansion 2,Sep 20th 2008,+-011345CDMTaaeeeilnorrrrtvyy
Cory Devela,Joe Riggs,+255,+220,+276,-315,-330,-280,Strikeforce: Strikeforce At The Dome,Feb 23rd 2008,+-022678CDJRaeeeggiloorsvy
Cory Devela,Lodune Sincaid,+130,+125,+136,-150,-165,-146,Sportfight 21: Season Beatings,Dec 22nd 2007,+-113466CDLSaacddeeeiilnnooruvy
Edwin Dewees,Antonio Rogerio Nogueira,+300,+600,+701,-420,-1500,-1000,Affliction 1: Banned,Jul 19th 2008,+-0000117ADENRadeeeeeggiiiinnnooooorrstuww
Edwin Dewees,Frank Trigg,+370,+300,+400,-450,-600,-432,HDNet Fights: Reckless Abandon,Dec 15th 2007,+-002344DEFTadeeeggiiknnrrsww
Alessio Di Chirico,Makhmud Muradov,-230,+125,+148,+170,-175,-152,UFC on ESPN+ 18: Hermansson vs. Cannonier,Sep 28th 2019,+-112458ACDMMaacddehhiiiiklmooorrssuuv
Alessio Di Chirico,Kevin Holland,+155,+165,+1160,-195,-250,-196,UFC on ESPN+ 12: Moicano vs. The Korean Zombie,Jun 22nd 2019,+-0111669ACDHKacdeehiiiiilllnnooorssv
Alessio Di Chirico,Julian Marquez,+160,+100,+123,-210,-150,-125,UFC: The Ultimate Fighter 27 Finale: Tavares vs. Adesanya,Jul 6th 2018,+-112235ACDJMaaceehiiiiillnooqrrssuuz
Alessio Di Chirico,Eric Spicely,-155,-120,-105,+115,-125,-101,UFC on FOX 23: Shevchenko vs. Pena,Jan 28th 2017,--001115ACDESccceehiiiiiillooprrssy
Alessio Di Chirico,Garreth McLellan,-265,-350,-275,+185,+200,+279,UFC on FOX 21: Maia vs. Condit,Aug 27th 2016,+-225779ACDGLMaacceeehhiiiilllnoorrrsst
Alessio Di Chirico,Bojan Velickovic,+130,+150,+175,-170,-210,-172,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016,+-112577ABCDVaccceehiiiiiijkllnoooorssv
Micol Disegni,Mallory Martin,+225,+230,+304,-350,-400,-333,Dana White's Contender Series 25,Aug 20th 2019,+-033334DMMMaacegiiiilllnnoorrsty
Micol Disegni,Cory McKenna,NaN,NaN,NaN,NaN,NaN,NaN,Cage Warriors 97: Shore vs. Maia,Sep 29th 2018,CDKMMNNNNaaacceegiiilnnnoorsy
Micol Disegni,Morgan Solis,NaN,NaN,NaN,NaN,NaN,NaN,LFA 27: Watley vs. Wilson,Nov 10th 2017,DMMNNNNSaaaceggiiiillnnooorss
Cyrille Diabate,Ilir Latifi,-125,-105,+130,-115,-160,-125,UFC Fight Night 37: Gustafsson vs. Manuwa,Mar 8th 2014,+-011235CDILaaabeefiiiiilllrrtty
Cyrille Diabate,Jimi Manuwa,+146,+160,+200,-174,-260,-194,UFC on Fuel TV 7: Barao vs. McDonald,Feb 16th 2013,+-001249CDJMaaaabeeiiiillmnrtuwy
Cyrille Diabate,Chad Griggs,+110,-145,-115,-140,+104,+115,UFC 154: St-Pierre vs. Condit,Nov 17th 2012,+-111155CCDGaaabdeegghiiillrrsty
Cyrille Diabate,Anthony Perosh,-500,-476,-345,+300,+250,+320,UFC 138: Leben vs. Munoz,Nov 5th 2011,+-023345ACDPaabeeehhiillnnoorrsttyy
Cyrille Diabate,Alexander Gustafsson,-120,-105,+135,-110,-155,-130,UFC 120: Bisping vs. Akiyama,Oct 16th 2010,+-011335ACDGaaaabdeeeefiilllnnorrsssttuxy
Cyrille Diabate,Marcus Hicks,NaN,NaN,NaN,NaN,NaN,NaN,Agression MMA,Oct 24th 2009,CDHMNNNNaaaaabcceeiiikllrrsstuy
Cyrille Diabate,Lodune Sincaid,NaN,NaN,NaN,NaN,NaN,NaN,PFC 12: High Stakes,Jan 22nd 2009,CDLNNNNSaaaaabcddeeeiiiillnnortuy
Thomas Diagne,Mark Dickman,NaN,NaN,NaN,NaN,NaN,NaN,Bellator 154: Davis vs. King Mo,May 14th 2016,DDMNNNNTaaaaaaceghiikkmmnnors
Thomas Diagne,Erick Sanchez,NaN,NaN,NaN,NaN,NaN,NaN,Bellator 147: Thomson vs. Villaseca,Dec 4th 2015,DENNNNSTaaaaacceeghhiikmnnorsz
Thomas Diagne,Mike Malott,NaN,NaN,NaN,NaN,NaN,NaN,Bellator 142: Dynamite,Sep 19th 2015,DMMNNNNTaaaaaeeghiiklmnoostt
Marc Diakiese,Lando Vannata,-135,-175,-155,-105,+125,+155,UFC on ESPN+ 18: Hermansson vs. Cannonier,Sep 28th 2019,+-115555DLMVaaaaaacdeeiiknnnorst
Marc Diakiese,Joseph Duffy,+185,+145,+169,-265,-200,-175,UFC on ESPN+ 5: Till vs. Masvidal,Mar 16th 2019,+-115679DDJMaaceeeffhiikoprssuy
