Name,Affiliation,Born,Fighting out of
David Lee,Team Crossface,"London, England","London, England"
Thales Leites,Nova União,"Rio de Janeiro, Rio de Janeiro, Brazil","Niteroi, Rio de Janeiro, Brazil"
Jess Liaudin,Pancrase London,France,France
Dhiego Lima,American Top Team Atlanta,"Goiania, Goias, Brazil","Atlanta, Georgia"
John Lineker,OCSJJ,"Paranagua, Parana, Brazil","Paranagua, Parana, Brazil"
Dileno Lopes,Nova União Manaus,Brazil,"Manaus, Amazonas, Brazil"
Nate Loughran,Nor-Cal Fighting Alliance,"Rohnert Park, California, United States","Santa Rosa, California"
Matt Lucas,Arizona Combat Sports,"Indianapolis, Indiana, United States","Mesa, Arizona"
Mike Lullo,Midwest Training Center,"Elmhurst, Illinois, United States","Schaumburg, Illinois"
Dalcha Lungiambula,Camp Fight,Democratic Republic Of The Congo,"Cape Town, South Africa"
Stevie Lynch,N/A,United Kingdom,"Antrim, Northern Ireland"
Reza Madadi,Allstars Training Center,"Tehran, Iran","Stockholm, Sweden"
Ryan Madigan,N/A,United States,"Cuyahoga Falls, Ohio"
Bernardo Magalhaes,TP Fight Team,"Rio de Janeiro, Brazil","Sydney, Australia"
Rashid Magomedov,Gorets FT,"Makhachkala, Russia","Makhachkala, Russia"
Islam Makhachev,Fightspirit Team,"Dagestan, Russia","Makhachkala, Russia"
Troy Mandaloniz,Penn Fitness & Training Center,United States,"Hilo, Hawaii"
Christina Marks,Fight Ugly,United States,"San Diego, California"
Adriano Martins,Top Life Amazonas,"Manaus, Amazonas, Brazil","Manaus, Amazonas, Brazil"
Tim McKenzie,N/A,United States,"Lodi, California"
Garreth McLellan,Fight Fit Militia,"Vereeniging, South Africa","Johannesburg, Gauteng"
Eddie Mendez,N/A,"Sun Valley, California","Sun Valley, California"
Mario Miranda,AMC Pankration,"Rio de Janeiro, Brazil","Kirkland, Washington"
Vitor Miranda,Team Nogueira,"Joinville, Santa Catarina, Brazil","Rio de Janeiro, Rio de Janeiro, Brazil"
Roman Mitichyan,N/A,Armenia,Armenia
Ashkan Mokhtarian,Australian Top Team,"Sydney, New South Wales, Australia","Sydney, New South Wales, Australia"
Erick Montano,Bonebreakers MMA,Mexico,Mexico
Brad Morris,N/A,Australia,"Sydney, Australia"
Khalid Murtazaliev,Krepost Fight Club,Russia,"Moscow, Russia"
Yui Chul Nam,Freelance,South Korea,South Korea
Shane Nelson,Penn Fitness & Training Center,United States,"Honolulu, Hawaii"
Aleksei Oleinik,RusFighters MMA,"Kharkiv, Ukraine","Moscow, Russia"
Felipe Olivieri,Nova União,Brazil,"Rio de Janeiro, Rio de Janeiro, Brazil"
Rousimar Palhares,Team Nogueira,"Dores do Indaiá, Minas Gerais, Brazil","Rio de Janeiro, Brazil"
Junyong Park,Korean Top Team,South Korea,South Korea
Norman Parke,Next Generation I.M.M.A,Northern Ireland,"Bushmills, Northern Ireland"
Alan Patrick,XGym,Brazil,"Manaus, Amazonas, Brazil"
Michael Patt,Meat Truck Inc.,United States,"Dayton, Ohio"
Julio Paulino,N/A,"Jersey City, New Jersey, United States","Jersey City, New Jersey"
Estevan Payan,Arizona Combat Sports,United States,"Glendale, Arizona"
Carlo Pedersoli Jr.,Aurora Mixed Martial Arts,"Miami, Florida","Rome, Italy"
Markus Perez,American Top Team,Brazil,"Sao Paulo, Sao Paulo, Brazil"
Anthony Perosh,Team Perosh Mixed Martial Arts,"Sydney, New South Wales, Australia","Sydney, New South Wales, Australia"
Thiago Perpetuo,Furacão Fight Team,"Santo Andre, Sao Paulo, Brazil","Santo Andre, Sao Paulo, Brazil"
Ross Pointon,N/A,United Kingdom,England
Callan Potter,Renegade MMA,"Riddells Creek, Victoria, Australia","Melbourne, Victoria, Australia"
Wagner Prado,Team Nogueira,"Campinas, Sao Paulo, Brazil","Rio de Janeiro, Rio de Janeiro, Brazil"
Chris Price,Manchester Predators,England,"Blackburn with Darwen, England"
Jose Quinonez,Alliance MMA,"Tlaltenango, Zacatecas, Mexico","San Diego, California"
Jordan Radev,Sportcentrum KOPS,"Pomorie, Bulgaria","New York City, New York"
Johnny Rees,N/A,United States,"Indianapolis, Indiana"
Marcos Rogerio de Lima,American Top Team,"Sao Paulo, Sao Paulo, Brazil","Ribeirao Pires, Sao Paulo, Brazil"
Jake Rosholt,Arlington MMA,"Sandpoint, Idaho, United States","Arlington, Texas"
Khalil Rountree Jr.,N/A,"Los Angeles, California","Las Vegas, Nevada"
Mike Russow,N/A,"Kankakee, Illinois, United States","Chicago, Illinois"
Augusto Sakai,Gile Ribeiro Team,"Curitiba, Parana, Brazil","Curitiba, Parana, Brazil"
Sean Salmon,N/A,United States,"Columbus, Ohio"
Josh Samman,MMA Masters,USA,USA
Eddie Sanchez,NCFC Fight Team,"La Jolla, California, United States","Vista, California"
Jesse Sanders,N/A,United States,"Oskaloosa, Iowa"
Jerrod Sanders,The Forge MMA,United States,North Carolina
Mark Scanlon,Team Kaobon Liverpool,United Kingdom,"Liverpool, England"
Darrill Schoonover,Red Spider MMA,United States,"El Paso, Texas"
Brad Scott,Dragon's Lair MMA,"Bath, Somerset, England","Melksham, Wilshire, England"
Ivan Serati,Sure Grip Vale Tudo,Italy,"Monza, Italy"
Kamal Shalorus,Dynamix MMA,"Heris, Iran","Washington, District of Columbia, United States"
Jay Silva,MPF Training Systems,"Luanda, Angola","Huntington Beach, California"
Felipe Silva,CM System,Brazil,"Juiz de Fora, Minas Gerais, Brazil"
Gabriel Silva,Team Nogueira,"Vila Velha, Espirito Santo, Brazil","Rio de Janeiro, Rio de Janeiro, Brazil"
Dmitrii Smoliakov,Baltic Challenge,Russia,"Kaliningrad, Russia"
Ron Stallings,Team Lloyd Irvin,"Durham, North Carolina, United States","Temple Hills, Maryland"
Dominique Steele,Aron Thomas Jiu Jitsu,"Norwood, Ohio, United States","Cincinnati, Ohio"
Jeremy Stephens,Alliance MMA,"Des Moines, Iowa, United States","San Diego, California"
Mike Stumpf,Team Curran MMA,"Crystal Lake, Illinois, United States","Crystal Lake, Illinois"
Floyd Sword,N/A,United States,"Albuquerque, New Mexico"
Bentley Syler,American Top Team,"Santa Cruz de la Sierra, Bolivia","Coconut Creek, Florida"
Tim Sylvia,Champions Gym,"Ellsworth, Maine, United States",Maine
Khalid Taha,Arena Dortmund,"Warendorf, Germany","Dortmund, Germany"
Nordine Taleb,Tristar Gym,"Cogolin, France","Montreal, Quebec"
Jason Tan,N/A,United Kingdom,"Liverpool, England"
Evan Tanner,Hard Knocks Kickboxing,USA,USA
Jesse Taylor,The Arena MMA,United States,"Murrieta, California"
Gleison Tibau,American Top Team,"Natal, Rio Grande Norte, Brazil","Coconut Creek, Florida"
Tyler Toner,Elevation Fight Team,"Colorado, United States","Denver, Colorado"
Ronys Torres,Nova União,Brazil,"Manacapuru, Amazonas, Brazil"
Francisco Trevino,Bronx's Gold Team,United States,"Edinburg, Texas"
Gasan Umalatov,American Top Team,Russia,"Astrakhan, Russia"
Victor Valimaki,UFC Gym Sherwood Park,"Kingston, Ontario, Canada","Edmonton, Alberta"
Jamie Varner,MMA Lab,"Phoenix, Arizona, United States","Dobson Shores, Arizona"
Javier Vazquez,Gracie Humaita,"Santiago, Cuba","Rancho Cucamonga, California"
Joe Vedepo,Team I-Core,United States,"Iowa City, Iowa"
Karlos Vemola,London Shootfighters,"Olomouc, Czechoslovakia","London, England"
Polyana Viana,Tata Fight Team,"Sao Geraldo do Araguaia, Para, Brazil","Rio de Janeiro, Rio de Janeiro, Brazil"
Danillo Villefort,Blackzilians,"Brasilia, Brazil","Coconut Creek, Florida"
Neil Wain,Ludus Magnus,United Kingdom,"Doncaster, England"
Sai Wang,Enbo Gedou,China,"Beijing, China"
Curt Warburton,NEVT,"Bishop Auckland, England","Liverpool, England"
Charlie Ward,Straight Blast Gym Ireland,Ireland,Ireland
Christian Wellisch,American Kickboxing Academy,Hungary,"Los Angeles, California, USA"
Fabricio Werdum,Kings MMA,"Porto Alegre, Rio Grande do Sul, Brazil","Los Angeles, California"
James Wilks,Lightning MMA,"Leicestershire, England","Laguna Hills, California"
Jonathan Wilson,Millennia MMA,United States,California
Andre Winner,Team Rough House,"St. George's, Grenada","Leicester, England"
Brandon Wolff,MMAD,United States,"Kailua, Hawaii"
Nathaniel Wood,Great Britain Top Team,England,"London, England"
Tyron Woodley,American Top Team,"Ferguson, Missouri, United States","St. Louis, Missouri"
Rani Yahya,Constrictor Team,"Brasilia, Distrito Federal, Brazil","Brasilia, Distrito Federal, Brazil"
Norifumi Yamamoto,KRAZY BEE,Japan,Japan
Adam Yandiev,Fight or Die,Russia,"Moscow, Russia"
Jianping Yang,Fight Emperor,China,China
Luke Zachrich,Ronin Training Center,United States,"Columbus, Ohio"
Anton Zafir,Whitsunday Martial Arts,Australia,"Queensland, Australia"
Elizeu Zaleski dos Santos,CM System,"Francisco Beltrao, Parana, Brasil","Curitiba, Parana, Brazil"
