Events,Date,Venue,City,Attendance,Total Gate,Buyrate,fight_odds_url,scraped,Promotion
UFC on Fox: dos Anjos vs. Cowboy 2,2015-12-19 00:00:00,Amway Center,"Orlando, Florida","14,459","$1,710,000",,https://www.bestfightodds.com/events/ufc-on-fox-17-dos-anjos-vs-cerrone-1008,1,Ultimate Fighting Championship
UFC 194,2015-12-12 00:00:00,MGM Grand Garden Arena,"Las Vegas, Nevada","16,516","$10,006,249","1,200,000[3]",https://www.bestfightodds.com/search?query=UFC%20194,1,Ultimate Fighting Championship
UFC Fight Night: Namajunas vs. VanZant,2015-12-10 00:00:00,The Chelsea at The Cosmopolitan,"Las Vegas, Nevada","1,643","$234,725",,https://www.bestfightodds.com/events/ufc-fight-night-80-vanzant-vs-namajunas-1023,1,Ultimate Fighting Championship
UFC Fight Night: Henderson vs. Masvidal,2015-11-28 00:00:00,Olympic Gymnastics Arena,"Seoul, South Korea","12,156",,,https://www.bestfightodds.com/events/ufc-fight-night-79-henderson-vs-masvidal-1013,1,Ultimate Fighting Championship
UFC 193,2015-11-14 00:00:00,Docklands Stadium,"Melbourne, Australia","56,214","$6,800,000","1,100,000[3]",https://www.bestfightodds.com/search?query=UFC%20193,1,Ultimate Fighting Championship
UFC Fight Night: Belfort vs. Henderson 3,2015-11-07 00:00:00,Ginásio do Ibirapuera,"São Paulo, Brazil","10,628",,,https://www.bestfightodds.com/events/ufc-fight-night-77-belfort-vs-henderson-3-997,1,Ultimate Fighting Championship
UFC Fight Night: Holohan vs. Smolka,2015-10-24 00:00:00,3Arena,"Dublin, Ireland","9,500",,,https://www.bestfightodds.com/events/ufc-fight-night-76-holohan-vs-smolka-976,1,Ultimate Fighting Championship
UFC 192,2015-10-03 00:00:00,Toyota Center,"Houston, Texas","14,622","$1,859,000","250,000",https://www.bestfightodds.com/search?query=UFC%20192,1,Ultimate Fighting Championship
UFC Fight Night: Barnett vs. Nelson,2015-09-27 00:00:00,Saitama Super Arena,"Saitama, Japan","10,137",,,https://www.bestfightodds.com/events/ufc-fight-night-75-nelson-vs-barnett-1003,1,Ultimate Fighting Championship
UFC 191,2015-09-05 00:00:00,MGM Grand Garden Arena,"Las Vegas, Nevada","10,873","$1,362,700","115,000",https://www.bestfightodds.com/search?query=UFC%20191,1,Ultimate Fighting Championship
UFC Fight Night: Holloway vs. Oliveira,2015-08-23 00:00:00,SaskTel Centre,"Saskatoon, Saskatchewan, Canada","7,202",,,https://www.bestfightodds.com/events/ufc-fight-night-74-holloway-vs-oliveira-984,1,Ultimate Fighting Championship
UFC Fight Night: Teixeira vs. Saint Preux,2015-08-08 00:00:00,Bridgestone Arena,"Nashville, Tennessee","7,539","$454,551",,https://www.bestfightodds.com/events/ufc-fight-night-73-saint-preux-vs-teixeira-979,1,Ultimate Fighting Championship
UFC 190,2015-08-01 00:00:00,HSBC Arena,"Rio de Janeiro, Brazil","14,723",,"900,000 ",https://www.bestfightodds.com/search?query=UFC%20190,1,Ultimate Fighting Championship
UFC on Fox: Dillashaw vs. Barão 2,2015-07-25 00:00:00,United Center,"Chicago, Illinois","11,663","$1,200,000",,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967,1,Ultimate Fighting Championship
UFC Fight Night: Bisping vs. Leites,2015-07-18 00:00:00,OVO Hydro,"Glasgow, Scotland","10,451","$1,500,000",,https://www.bestfightodds.com/events/ufc-fight-night-72-bisping-vs-leites-975,1,Ultimate Fighting Championship
UFC Fight Night: Mir vs. Duffee,2015-07-15 00:00:00,Valley View Casino Center,"San Diego, California","5,471","$412,000",,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965,1,Ultimate Fighting Championship
UFC 189,2015-07-11 00:00:00,MGM Grand Garden Arena,"Las Vegas, Nevada","16,019","$7,201,648","825,000[3]",https://www.bestfightodds.com/search?query=UFC%20189,1,Ultimate Fighting Championship
UFC Fight Night: Machida vs. Romero,2015-06-27 00:00:00,Seminole Hard Rock Hotel and Casino,"Hollywood, Florida","5,604",,,https://www.bestfightodds.com/events/ufc-fight-night-70-machida-vs-romero-973,1,Ultimate Fighting Championship
UFC Fight Night: Jędrzejczyk vs. Penne,2015-06-20 00:00:00,O2 World,"Berlin, Germany","8,155",,,https://www.bestfightodds.com/events/ufc-fight-night-69-jedrzejczyk-vs-penne-964,1,Ultimate Fighting Championship
UFC 188,2015-06-13 00:00:00,Arena Ciudad de México,"Mexico City, Mexico","21,036",,"300,000",https://www.bestfightodds.com/search?query=UFC%20188,1,Ultimate Fighting Championship
UFC Fight Night: Boetsch vs. Henderson,2015-06-06 00:00:00,Smoothie King Center,"New Orleans, Louisiana","6,231","$621,523",,https://www.bestfightodds.com/events/ufc-fight-night-68-henderson-vs-boetsch-947,1,Ultimate Fighting Championship
UFC Fight Night: Condit vs. Alves,2015-05-30 00:00:00,Goiânia Arena,"Goiânia, Brazil","3,500",,,https://www.bestfightodds.com/events/ufc-fight-night-67-alves-vs-condit-957,1,Ultimate Fighting Championship
UFC 187,2015-05-23 00:00:00,MGM Grand Garden Arena,"Las Vegas, Nevada","12,615","$5,189,623","375,000[3]",https://www.bestfightodds.com/search?query=UFC%20187,1,Ultimate Fighting Championship
UFC Fight Night: Edgar vs. Faber,2015-05-16 00:00:00,Mall of Asia Arena,"Pasay, Philippines","13,446",,,https://www.bestfightodds.com/events/ufc-fight-night-66-edgar-vs-faber-946,1,Ultimate Fighting Championship
UFC Fight Night: Miocic vs. Hunt,2015-05-10 00:00:00,Adelaide Entertainment Centre,"Adelaide, Australia","7,984","$833,810",,https://www.bestfightodds.com/events/ufc-fight-night-65-hunt-vs-miocic-950,1,Ultimate Fighting Championship
UFC 186,2015-04-25 00:00:00,Bell Centre,"Montreal, Quebec, Canada","10,154","$668,000","125,000",https://www.bestfightodds.com/search?query=UFC%20186,1,Ultimate Fighting Championship
UFC on Fox: Machida vs. Rockhold,2015-04-18 00:00:00,Prudential Center,"Newark, New Jersey","13,306","$1,200,000",,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927,1,Ultimate Fighting Championship
UFC Fight Night: Gonzaga vs. Cro Cop 2,2015-04-11 00:00:00,Tauron Arena Kraków,"Kraków, Poland","10,000","$720,000",,https://www.bestfightodds.com/events/ufc-fight-night-64-gonzaga-vs-cro-cop-ii-936,1,Ultimate Fighting Championship
UFC Fight Night: Mendes vs. Lamas,2015-04-04 00:00:00,Patriot Center,"Fairfax, Virginia","5,417","$545,604",,https://www.bestfightodds.com/events/ufc-fight-night-63-mendes-vs-lamas-932,1,Ultimate Fighting Championship
UFC Fight Night: Maia vs. LaFlare,2015-03-21 00:00:00,Ginásio do Maracanãzinho,"Rio de Janeiro, Brazil","7,707",,,https://www.bestfightodds.com/events/ufc-fight-night-62-maia-vs-laflare-934,1,Ultimate Fighting Championship
UFC 185,2015-03-14 00:00:00,American Airlines Center,"Dallas, Texas","14,298","$2,155,630","310,000",https://www.bestfightodds.com/search?query=UFC%20185,1,Ultimate Fighting Championship
UFC 184,2015-02-28 00:00:00,Staples Center,"Los Angeles, California","16,577","$2,675,560","600,000",https://www.bestfightodds.com/search?query=UFC%20184,1,Ultimate Fighting Championship
UFC Fight Night: Bigfoot vs. Mir,2015-02-22 00:00:00,Ginásio Gigantinho,"Porto Alegre, Brazil","5,080",,,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923,1,Ultimate Fighting Championship
UFC Fight Night: Henderson vs. Thatch,2015-02-14 00:00:00,1stBank Center,"Broomfield, Colorado","5,807","$382,875",,https://www.bestfightodds.com/events/ufc-fight-night-60-henderson-vs-thatch-915,1,Ultimate Fighting Championship
UFC 183,2015-01-31 00:00:00,MGM Grand Garden Arena,"Las Vegas, Nevada","13,114","$4,500,000","650,000",https://www.bestfightodds.com/search?query=UFC%20183,1,Ultimate Fighting Championship
UFC on Fox: Gustafsson vs. Johnson,2015-01-24 00:00:00,Tele2 Arena,"Stockholm, Sweden","30,000",$3.1 million,,https://www.bestfightodds.com/events/ufc-on-fox-14-gustafsson-vs-johnson-906,1,Ultimate Fighting Championship
UFC Fight Night: McGregor vs. Siver,2015-01-18 00:00:00,TD Garden,"Boston, Massachusetts","13,828","$1,340,000",,https://www.bestfightodds.com/events/ufc-fight-night-59-mcgregor-vs-siver-895,1,Ultimate Fighting Championship
UFC 182,2015-01-03 00:00:00,MGM Grand Garden Arena,"Las Vegas, Nevada","11,575","$3,700,000","800,000",https://www.bestfightodds.com/search?query=UFC%20182,1,Ultimate Fighting Championship
UFC Fight Night: Machida vs. Dollaway,2014-12-20 00:00:00,Ginásio José Corrêa,"Barueri, Brazil",,,,https://www.bestfightodds.com/events/ufc-fight-night-58-machida-vs-dollaway-880,1,Ultimate Fighting Championship
UFC on Fox: dos Santos vs. Miocic,2014-12-13 00:00:00,U.S. Airways Center,"Phoenix, Arizona","15,350",$1.5 million,,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879,1,Ultimate Fighting Championship
UFC 181,2014-12-06 00:00:00,Mandalay Bay Events Center,"Las Vegas, Nevada","11,617",$2.488 million,"400,000",https://www.bestfightodds.com/search?query=UFC%20181,1,Ultimate Fighting Championship
UFC Fight Night: Edgar vs. Swanson,2014-11-22 00:00:00,Frank Erwin Center,"Austin, Texas","10,131","$670,022",,https://www.bestfightodds.com/events/ufc-fight-night-57-edgar-vs-swanson-892,1,Ultimate Fighting Championship
UFC 180,2014-11-15 00:00:00,Arena Ciudad de México,"Mexico City, Mexico","21,000",,"185,000",https://www.bestfightodds.com/search?query=UFC%20180,1,Ultimate Fighting Championship
UFC Fight Night: Shogun vs. Saint Preux,2014-11-08 00:00:00,Ginásio Municipal Tancredo Neves,"Uberlândia, Brazil","5,671",,,https://www.bestfightodds.com/events/ufc-fight-night-56-shogun-vs-st-preux-893,1,Ultimate Fighting Championship
UFC Fight Night: Rockhold vs. Bisping,2014-11-08 00:00:00,Allphones Arena,"Sydney, Australia","9,904",$1.5 million,,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894,1,Ultimate Fighting Championship
UFC 179,2014-10-25 00:00:00,Ginásio do Maracanãzinho,"Rio de Janeiro, Brazil","11,415",,"180,000",https://www.bestfightodds.com/search?query=UFC%20179,1,Ultimate Fighting Championship
UFC Fight Night: MacDonald vs. Saffiedine,2014-10-04 00:00:00,Scotiabank Centre,"Halifax, Nova Scotia, Canada","10,782","$926,000",,https://www.bestfightodds.com/events/ufc-fight-night-54-macdonald-vs-saffiedine-861,1,Ultimate Fighting Championship
UFC Fight Night: Nelson vs. Story,2014-10-04 00:00:00,Ericsson Globe Arena,"Stockholm, Sweden","10,026",$1.1 million,,https://www.bestfightodds.com/events/ufc-fight-night-53-nelson-vs-story-860,1,Ultimate Fighting Championship
UFC 178,2014-09-27 00:00:00,MGM Grand Garden Arena,"Las Vegas, Nevada","14,544",$2.2 million,"205,000[3]",https://www.bestfightodds.com/search?query=UFC%20178,1,Ultimate Fighting Championship
UFC Fight Night: Hunt vs. Nelson,2014-09-20 00:00:00,Saitama Super Arena,"Saitama, Japan","12,395",,,https://www.bestfightodds.com/events/ufc-fight-night-52-hunt-vs-nelson-847,1,Ultimate Fighting Championship
UFC Fight Night: Bigfoot vs. Arlovski,2014-09-13 00:00:00,Ginásio Nilson Nelson,"Brasília, Brazil","8,822",,,https://www.bestfightodds.com/events/ufc-fight-night-51-big-foot-vs-arlovski-ii-850,1,Ultimate Fighting Championship
UFC Fight Night: Jacaré vs. Mousasi,2014-09-05 00:00:00,Foxwoods Resort Casino,"Mashantucket, Connecticut","4,086","$479,620",,https://www.bestfightodds.com/events/ufc-fight-night-50-souza-vs-mousasi-851,1,Ultimate Fighting Championship
UFC 177,2014-08-30 00:00:00,Sleep Train Arena,"Sacramento, California","11,100","$700,000","125,000",https://www.bestfightodds.com/search?query=UFC%20177,1,Ultimate Fighting Championship
UFC Fight Night: Henderson vs. dos Anjos,2014-08-23 00:00:00,BOK Center,"Tulsa, Oklahoma","7,119","$452,075",,https://www.bestfightodds.com/events/ufc-fight-night-49-henderson-vs-dos-anjos-846,1,Ultimate Fighting Championship
UFC Fight Night: Bisping vs. Le,2014-08-23 00:00:00,CotaiArena,"Macau, SAR, China","7,022",,,https://www.bestfightodds.com/events/ufc-fight-night-48-bisping-vs-le-835,1,Ultimate Fighting Championship
UFC Fight Night: Bader vs. Saint Preux,2014-08-16 00:00:00,Cross Insurance Center,"Bangor, Maine","5,329","$321,470",,https://www.bestfightodds.com/events/ufc-fight-night-47-bader-vs-saint-preux-845,1,Ultimate Fighting Championship
https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953,1,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953
UFC on Fox: Lawler vs. Brown,2014-07-26 00:00:00,SAP Center,"San Jose, California","11,482","$735,317",,https://www.bestfightodds.com/events/ufc-on-fox-12-lawler-vs-brown-829,1,Ultimate Fighting Championship
UFC Fight Night: McGregor vs. Brandão,2014-07-19 00:00:00,The O2,"Dublin, Ireland","9,500",$1.4 million,,https://www.bestfightodds.com/events/ufc-fight-night-46-mcgregor-vs-brandao-827,1,Ultimate Fighting Championship
UFC Fight Night: Cowboy vs. Miller,2014-07-16 00:00:00,Revel Casino Hotel,"Atlantic City, New Jersey","4,115",,,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826,1,Ultimate Fighting Championship
UFC 175,2014-07-05 00:00:00,Mandalay Bay Events Center,"Las Vegas, Nevada","10,988","$4,400,000","545,000",https://www.bestfightodds.com/search?query=UFC%20175,1,Ultimate Fighting Championship
UFC Fight Night: Swanson vs. Stephens,2014-06-28 00:00:00,AT&T Center,"San Antonio, Texas","9,227","$728,358",,https://www.bestfightodds.com/events/ufc-fight-night-44-swanson-vs-stephens-800,1,Ultimate Fighting Championship
UFC Fight Night: Te Huna vs. Marquardt,2014-06-28 00:00:00,Vector Arena,"Auckland, New Zealand","8,089","$913,000",,https://www.bestfightodds.com/events/ufc-fight-night-43-te-huna-vs-marquardt-823,1,Ultimate Fighting Championship
UFC 174,2014-06-14 00:00:00,Rogers Arena,"Vancouver, British Columbia, Canada","13,506",$1.14 million,"115,000",https://www.bestfightodds.com/search?query=UFC%20174,1,Ultimate Fighting Championship
UFC Fight Night: Henderson vs. Khabilov,2014-06-07 00:00:00,Tingley Coliseum,"Albuquerque, New Mexico","8,775","$697,901",,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822,1,Ultimate Fighting Championship
UFC Fight Night: Muñoz vs. Mousasi,2014-05-31 00:00:00,O2 World,"Berlin, Germany","8,000",,,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799,1,Ultimate Fighting Championship
UFC 173,2014-05-24 00:00:00,MGM Grand Garden Arena,"Las Vegas, Nevada","13,936",$1.7 million,"215,000 ",https://www.bestfightodds.com/search?query=UFC%20173,1,Ultimate Fighting Championship
UFC Fight Night: Brown vs. Silva,2014-05-10 00:00:00,U.S. Bank Arena,"Cincinnati, Ohio","6,143","$415,000",,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794,1,Ultimate Fighting Championship
UFC 172,2014-04-26 00:00:00,Baltimore Arena,"Baltimore, Maryland","13,485",$2.3 million,"350,000 ",https://www.bestfightodds.com/search?query=UFC%20172,1,Ultimate Fighting Championship
UFC on Fox: Werdum vs. Browne,2014-04-19 00:00:00,Amway Center,"Orlando, Florida","14,410","$1,651,776",,https://www.bestfightodds.com/events/ufc-on-fox-11-werdum-vs-browne-779,1,Ultimate Fighting Championship
UFC Fight Night: Nogueira vs. Nelson,2014-04-11 00:00:00,du Arena,"Abu Dhabi, United Arab Emirates","7,963","$1,800,000",,https://www.bestfightodds.com/events/ufc-fight-night-39-minotauro-vs-nelson-790,1,Ultimate Fighting Championship
UFC Fight Night: Shogun vs. Henderson 2,2014-03-23 00:00:00,Ginásio Nélio Dias,"Natal, Brazil","6,828",,,https://www.bestfightodds.com/events/ufc-fight-night-38-shogun-vs-henderson-784,1,Ultimate Fighting Championship
UFC 171,2014-03-15 00:00:00,American Airlines Center,"Dallas, Texas","19,324","$2,600,000","300,000 ",https://www.bestfightodds.com/search?query=UFC%20171,1,Ultimate Fighting Championship
UFC Fight Night: Gustafsson vs. Manuwa,2014-03-08 00:00:00,The O2 Arena,"London, England","14,604","$2,000,056",,https://www.bestfightodds.com/events/ufc-fight-night-37-gustafsson-vs-manuwa-751,1,Ultimate Fighting Championship
UFC 170,2014-02-22 00:00:00,Mandalay Bay Events Center,"Las Vegas, Nevada","10,217","$1,558,870","340,000",https://www.bestfightodds.com/search?query=UFC%20170,1,Ultimate Fighting Championship
UFC Fight Night: Machida vs. Mousasi,2014-02-15 00:00:00,Arena Jaraguá,"Jaraguá do Sul, Brazil","7,511",,,https://www.bestfightodds.com/events/ufc-fight-night-36-machida-vs-mousasi-758,1,Ultimate Fighting Championship
UFC 169,2014-02-01 00:00:00,Prudential Center,"Newark, New Jersey","14,308",$1.651 million,"230,000",https://www.bestfightodds.com/search?query=UFC%20169,1,Ultimate Fighting Championship
UFC on Fox: Henderson vs. Thomson,2014-01-25 00:00:00,United Center,"Chicago, Illinois","10,895","$863,655",,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777,1,Ultimate Fighting Championship
UFC Fight Night: Rockhold vs. Philippou,2014-01-15 00:00:00,The Arena at Gwinnett Center,"Duluth, Georgia","5,822","$231,951",,https://www.bestfightodds.com/events/ufc-fight-night-35-rockhold-vs-philippou-762,1,Ultimate Fighting Championship
UFC Fight Night: Saffiedine vs. Lim,2014-01-04 00:00:00,Marina Bay Sands,"Marina Bay, Singapore","5,216",,,https://www.bestfightodds.com/events/ufc-fight-night-34-saffiedine-vs-lim-761,1,Ultimate Fighting Championship
UFC 168,2013-12-28 00:00:00,MGM Grand Garden Arena,"Las Vegas, Nevada","15,650","$6,238,792","1,025,000[3]",https://www.bestfightodds.com/search?query=UFC%20168,1,Ultimate Fighting Championship
UFC on Fox: Johnson vs. Benavidez 2,2013-12-14 00:00:00,Sleep Train Arena,"Sacramento, California","11,573","$1,066,610",,https://www.bestfightodds.com/events/ufc-on-fox-9-johnson-vs-benavidez-729,1,Ultimate Fighting Championship
UFC Fight Night: Hunt vs. Bigfoot,2013-12-06 00:00:00,Brisbane Entertainment Centre,"Brisbane, Queensland, Australia","11,393",$1.785 million,,https://www.bestfightodds.com/events/ufc-fight-night-33-hunt-vs-bigfoot-728,1,Ultimate Fighting Championship
UFC 167,2013-11-16 00:00:00,MGM Grand Garden Arena,"Las Vegas, Nevada","14,856","$5,759,350","630,000",https://www.bestfightodds.com/search?query=UFC%20167,1,Ultimate Fighting Championship
UFC Fight Night: Belfort vs. Henderson 2,2013-11-09 00:00:00,Goiânia Arena,"Goiânia, Brazil","10,565",,,https://www.bestfightodds.com/events/ufc-fight-night-32-belfort-vs-henderson-725,1,Ultimate Fighting Championship
UFC Fight Night: Machida vs. Muñoz,2013-10-26 00:00:00,Phones 4u Arena,"Manchester, United Kingdom","10,355",$1.5 million,,https://www.bestfightodds.com/events/ufc-fight-night-30-machida-vs-munoz-712,1,Ultimate Fighting Championship
UFC 166,2013-10-19 00:00:00,Toyota Center,"Houston, Texas","17,238",$2.5 million,"330,000",https://www.bestfightodds.com/search?query=UFC%20166,1,Ultimate Fighting Championship
UFC Fight Night: Maia vs. Shields,2013-10-09 00:00:00,Ginásio José Corrêa,"Barueri, Brazil","6,621",,,https://www.bestfightodds.com/events/ufc-fight-night-29-maia-vs-shields-713,1,Ultimate Fighting Championship
UFC 165,2013-09-21 00:00:00,Air Canada Centre,"Toronto, Ontario, Canada","15,504",$1.9 million,"310,000",https://www.bestfightodds.com/search?query=UFC%20165,1,Ultimate Fighting Championship
UFC Fight Night: Teixeira vs. Bader,2013-09-04 00:00:00,Mineirinho Arena,"Belo Horizonte, Brazil","5,126",,,https://www.bestfightodds.com/events/ufc-fight-night-28-teixeira-vs-bader-705,1,Ultimate Fighting Championship
UFC 164,2013-08-31 00:00:00,BMO Harris Bradley Center,"Milwaukee, Wisconsin","9,178","$907,116","270,000",https://www.bestfightodds.com/search?query=UFC%20164,1,Ultimate Fighting Championship
UFC Fight Night: Condit vs. Kampmann 2,2013-08-28 00:00:00,Bankers Life Fieldhouse,"Indianapolis, Indiana","6,417","$355,290",,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692,1,Ultimate Fighting Championship
UFC Fight Night: Shogun vs. Sonnen,2013-08-17 00:00:00,TD Garden,"Boston, Massachusetts","14,181","$1,534,000",,https://www.bestfightodds.com/events/ufc-fight-night-26-shogun-vs-sonnen-685,1,Ultimate Fighting Championship
UFC 163,2013-08-03 00:00:00,HSBC Arena,"Rio De Janeiro, Brazil","13,873",,"180,000",https://www.bestfightodds.com/search?query=UFC%20163,1,Ultimate Fighting Championship
UFC on Fox: Johnson vs. Moraga,2013-07-27 00:00:00,KeyArena,"Seattle, Washington","8,967","$700,081",,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674,1,Ultimate Fighting Championship
UFC 162,2013-07-06 00:00:00,MGM Grand Garden Arena,"Las Vegas, Nevada","12,964",$4.826 million,"550,000",https://www.bestfightodds.com/search?query=UFC%20162,1,Ultimate Fighting Championship
UFC 161,2013-06-15 00:00:00,MTS Centre,"Winnipeg, Manitoba, Canada","14,754",$3.15 million,"140,000",https://www.bestfightodds.com/search?query=UFC%20161,1,Ultimate Fighting Championship
UFC 160,2013-05-25 00:00:00,MGM Grand Garden Arena,"Las Vegas, Nevada","13,880",$2.942 million,"380,000",https://www.bestfightodds.com/search?query=UFC%20160,1,Ultimate Fighting Championship
UFC on FX: Belfort vs. Rockhold,2013-05-18 00:00:00,Arena Jaraguá,"Jaraguá do Sul, Brazil","7,642",,,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648,1,Ultimate Fighting Championship
UFC 159,2013-04-27 00:00:00,Prudential Center,"Newark, New Jersey","15,227","$2,700,000","530,000",https://www.bestfightodds.com/search?query=UFC%20159,1,Ultimate Fighting Championship
2013 in UFC,2013-01-19 00:00:00,Ginásio do Ibirapuera,13,"9,116[33]",$1.333 million[24],,,1,Ultimate Fighting Championship
UFC on Fuel TV: Mousasi vs. Latifi,2013-04-06 00:00:00,Ericsson Globe Arena,"Stockholm, Sweden","14,506","$2,710,530",,https://www.bestfightodds.com/events/ufc-on-fuel-tv-9-mousasi-vs-latifi-636,1,Ultimate Fighting Championship
UFC 158,2013-03-16 00:00:00,Bell Centre,"Montreal, Quebec, Canada","20,145","$3,630,166 ","950,000",https://www.bestfightodds.com/search?query=UFC%20158,1,Ultimate Fighting Championship
UFC on Fuel TV: Silva vs. Stann,2013-03-03 00:00:00,Saitama Super Arena,"Saitama, Japan","14,682",,,https://www.bestfightodds.com/events/ufc-on-fuel-tv-8-silva-vs-stann-625,1,Ultimate Fighting Championship
UFC 157,2013-02-23 00:00:00,Honda Center,"Anaheim, California","13,257","1,350,191","450,000",https://www.bestfightodds.com/search?query=UFC%20157,1,Ultimate Fighting Championship
UFC on Fuel TV: Barão vs. McDonald,2013-02-16 00:00:00,Wembley Arena,"London, United Kingdom","10,349","$1,300,000",,https://www.bestfightodds.com/events/ufc-on-fuel-tv-7-barao-vs-mcdonald-632,1,Ultimate Fighting Championship
UFC 156,2013-02-02 00:00:00,Mandalay Bay Events Center,"Paradise, Nevada","10,875","$2,437,150","330,000",https://www.bestfightodds.com/search?query=UFC%20156,1,Ultimate Fighting Championship
UFC on Fox: Johnson vs. Dodson,2013-01-26 00:00:00,United Center,"Chicago, Illinois","16,091","$1,270,000",,https://www.bestfightodds.com/events/ufc-on-fox-6-johnson-vs-dodson-613,1,Ultimate Fighting Championship
2013 in UFC,2013-01-19 00:00:00,Ginásio do Ibirapuera,13,"9,116[33]",$1.333 million[24],,,1,Ultimate Fighting Championship
UFC 155,2012-12-29 00:00:00,MGM Grand Garden Arena,"Las Vegas, Nevada","13,561","$3,286,025","590,000",https://www.bestfightodds.com/search?query=UFC%20155,1,Ultimate Fighting Championship
UFC on Fox: Henderson vs. Diaz,2012-12-08 00:00:00,KeyArena,"Seattle, Washington","14,387","$1,522,600",,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584,1,Ultimate Fighting Championship
UFC 154,2012-11-17 00:00:00,Bell Centre,"Montreal, Quebec, Canada","17,249","$3,143,000","700,000",https://www.bestfightodds.com/search?query=UFC%20154,1,Ultimate Fighting Championship
UFC on Fuel TV: Franklin vs. Le,2012-11-10 00:00:00,CotaiArena,"Macau, SAR, China","8,415","$1,300,000",,https://www.bestfightodds.com/events/ufc-on-fuel-tv-6-franklin-vs-le-582,1,Ultimate Fighting Championship
UFC 153,2012-10-13 00:00:00,HSBC Arena,"Rio de Janeiro, Brazil","16,844",$2.5–$2.6 million,"410,000",https://www.bestfightodds.com/search?query=UFC%20153,1,Ultimate Fighting Championship
UFC on FX: Browne vs. Bigfoot,2012-10-05 00:00:00,Target Center,"Minneapolis, Minnesota","7,049","$358,000",,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579,1,Ultimate Fighting Championship
UFC on Fuel TV: Struve vs. Miocic,2012-09-29 00:00:00,Capital FM Arena,"Nottingham, United Kingdom","7,241","$970,000",,https://www.bestfightodds.com/events/ufc-on-fuel-tv-5-struve-vs-miocic-569,1,Ultimate Fighting Championship
UFC 152,2012-09-22 00:00:00,Air Canada Centre,"Toronto, Ontario, Canada","16,800","$1,921,000 ","450,000 ",https://www.bestfightodds.com/search?query=UFC%20152,1,Ultimate Fighting Championship
UFC 151,2012-09-01 00:00:00,Mandalay Bay Events Center,"Las Vegas, Nevada",,,,,1,Ultimate Fighting Championship
UFC 150,2012-08-11 00:00:00,Pepsi Center,"Denver, Colorado","13,027","$619,955","190,000",https://www.bestfightodds.com/search?query=UFC%20150,1,Ultimate Fighting Championship
UFC on Fox: Shogun vs. Vera,2012-08-04 00:00:00,Staples Center,"Los Angeles, California","16,080","$1,100,000",,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546,1,Ultimate Fighting Championship
2012 in UFC,2012-01-28 00:00:00,United Center,14 (1 cancelled),"16,963[32]","$1,270,960[32]","235,000[76]",,1,Ultimate Fighting Championship
UFC on Fuel TV: Muñoz vs. Weidman,2012-07-11 00:00:00,HP Pavilion,"San Jose, California","4,250","$163,495",,https://www.bestfightodds.com/events/ufc-on-fuel-tv-4-munoz-vs-weidman-545,1,Ultimate Fighting Championship
UFC 148,2012-07-07 00:00:00,MGM Grand Garden Arena,"Las Vegas, Nevada","15,104","$6,901,655","925,000",https://www.bestfightodds.com/search?query=UFC%20148,1,Ultimate Fighting Championship
UFC 147,2012-06-23 00:00:00,Mineirinho Arena,"Belo Horizonte, Brazil","16,643",,"140,000",https://www.bestfightodds.com/search?query=UFC%20147,1,Ultimate Fighting Championship
