Events,Date,Venue,City,Attendance,Total Gate,Buyrate,fight_odds_url,scraped,Promotion
UFC Fight Night: Felder vs. dos Anjos,2020-11-14 00:00:00,UFC Apex,"Enterprise, Nevada, United States",None (behind closed doors),,,https://www.bestfightodds.com/events/ufc-fight-night-182-felder-vs-dos-anjos-1981,1,Ultimate Fighting Championship
UFC on ESPN: Santos vs. Teixeira,2020-11-07 00:00:00,UFC Apex,"Enterprise, Nevada, United States",None (behind closed doors),,,https://www.bestfightodds.com/events/ufc-on-espn-40-santos-vs-teixeira-1974,1,Ultimate Fighting Championship
UFC Fight Night: Hall vs. Silva,2020-10-31 00:00:00,UFC Apex,"Enterprise, Nevada, United States",None (behind closed doors),,,https://www.bestfightodds.com/events/ufc-on-espn-39-hall-vs-silva-1973,1,Ultimate Fighting Championship
UFC 254,2020-10-24 00:00:00,du Forum,"Abu Dhabi, United Arab Emirates",None (behind closed doors),,"675,000",https://www.bestfightodds.com/search?query=UFC%20254,1,Ultimate Fighting Championship
UFC Fight Night: Ortega vs. The Korean Zombie,2020-10-18 00:00:00,du Forum,"Abu Dhabi, United Arab Emirates",None (behind closed doors),,,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971,1,Ultimate Fighting Championship
UFC Fight Night: Moraes vs. Sandhagen,2020-10-11 00:00:00,du Forum,"Abu Dhabi, United Arab Emirates",None (behind closed doors),,,https://www.bestfightodds.com/events/ufc-on-espn-37-moraes-vs-sandhagen-1965,1,Ultimate Fighting Championship
UFC on ESPN: Holm vs. Aldana,2020-10-04 00:00:00,du Forum,"Abu Dhabi, United Arab Emirates",None (behind closed doors),,,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970,1,Ultimate Fighting Championship
UFC 253,2020-09-27 00:00:00,du Forum,"Abu Dhabi, United Arab Emirates",None (behind closed doors),,"700,000",https://www.bestfightodds.com/search?query=UFC%20253,1,Ultimate Fighting Championship
UFC Fight Night: Covington vs. Woodley,2020-09-19 00:00:00,UFC Apex,"Enterprise, Nevada, United States",None (behind closed doors),,,https://www.bestfightodds.com/events/ufc-on-espn-36-covington-vs-woodley-1944,1,Ultimate Fighting Championship
UFC Fight Night: Waterson vs. Hill,2020-09-12 00:00:00,UFC Apex,"Enterprise, Nevada, United States",None (behind closed doors),,,https://www.bestfightodds.com/events/ufc-on-espn-35-waterson-vs-hill-1945,1,Ultimate Fighting Championship
UFC Fight Night: Overeem vs. Sakai,2020-09-05 00:00:00,UFC Apex,"Enterprise, Nevada, United States",None (behind closed doors),,,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953,1,Ultimate Fighting Championship
